:START_ID(Student),:END_ID(Course),:TYPE,term,grade,difficulty:int,timeSpent:int,instructionMode,enjoyment:boolean
QE42723,CSFF 200,COMPLETED,Spring2024,A-,3,5,Online,true
QE42723,BIII 100,COMPLETED,Spring2024,C,4,5,Online,false
QE42723,CSPP 100,COMPLETED,Summer2024,B-,3,5,Online,false
QE42723,BLLL 100,COMPLETED,Summer2024,C-,3,6,In-person,false
IM31063,BXXX 100,COMPLETED,Spring2022,A-,3,6,In-person,true
IM31063,BAAA 200,COMPLETED,Spring2022,C+,3,7,Online,false
IM31063,BJJJ 100,COMPLETED,Summer2022,C+,4,8,In-person,false
IM31063,CSLL 100-1,COMPLETED,Fall2022,A,3,8,In-person,true
IM31063,CSDD 200,COMPLETED,Spring2023,A,3,10,Online,true
IM31063,CSJJ 200,COMPLETED,Spring2023,B,3,4,In-person,true
IM31063,CSEE 200,COMPLETED,Summer2023,A-,2,4,Online,true
IM31063,CSUU 100,COMPLETED,Fall2023,A,3,7,Online,true
IM31063,CSMM 100-8,COMPLETED,Fall2023,A,3,5,In-person,true
IM31063,CSKK 100,COMPLETED,Spring2024,B,3,4,Online,true
IM31063,BLLL 100,COMPLETED,Summer2024,B+,3,4,Hybrid,true
FH22315,CSKK 100,COMPLETED,Spring2021,B,3,5,Online,true
FH22315,CSMM 100,COMPLETED,Spring2021,C,2,5,Hybrid,false
FH22315,BPPP 100,COMPLETED,Spring2021,A,4,7,Online,true
FH22315,CSUU 100-3,COMPLETED,Summer2021,B-,4,6,In-person,false
FH22315,BTTT 200,COMPLETED,Summer2021,B,2,5,Online,true
FH22315,CSPP 100,COMPLETED,Summer2021,C,3,4,In-person,false
FH22315,CSQQ 200,COMPLETED,Fall2021,A-,3,8,In-person,true
FH22315,BMMM 200,COMPLETED,Fall2021,A,4,5,In-person,true
FH22315,BXXX 100,COMPLETED,Spring2022,B+,3,8,In-person,true
FH22315,CSNN 100,COMPLETED,Spring2022,A-,2,4,Online,true
FH22315,BIII 100,COMPLETED,Summer2022,B+,4,7,In-person,true
FH22315,CSKK 300,COMPLETED,Summer2022,A-,4,6,Online,true
FH22315,BLLL 100,COMPLETED,Summer2022,B+,3,6,Online,true
FH22315,CSEE 200,COMPLETED,Fall2022,A-,2,6,In-person,true
FH22315,BZZZ 200,COMPLETED,Fall2022,A,2,7,In-person,true
FH22315,CSDD 100,COMPLETED,Fall2022,B,2,6,In-person,true
FH22315,CSFF 200,COMPLETED,Spring2023,B-,3,5,In-person,false
FH22315,BAAA 100,COMPLETED,Spring2023,B+,4,7,Online,true
FH22315,CSMM 100-1,COMPLETED,Spring2023,A-,3,4,In-person,true
FH22315,BOOO 200,COMPLETED,Summer2023,A-,2,7,Online,true
FH22315,CSYY 200-9,COMPLETED,Fall2023,B,3,6,In-person,true
FH22315,CSDD 200,COMPLETED,Spring2024,B-,3,6,In-person,false
FH22315,BVVV 300-8,COMPLETED,Spring2024,A,3,8,In-person,true
FH22315,CSRR 100,COMPLETED,Spring2024,A-,4,4,In-person,true
FH22315,BPPP 300,COMPLETED,Summer2024,B+,3,8,In-person,true
FH22315,CSLL 100,COMPLETED,Summer2024,B-,3,4,Online,false
FH22315,BJJJ 100,COMPLETED,Summer2024,B,4,7,In-person,true
TH40303,CSJJ 100,COMPLETED,Fall2023,B,3,6,In-person,true
TH40303,BXXX 100,COMPLETED,Fall2023,B,3,6,In-person,true
