:START_ID(Course),:END_ID(RequirementGroup),:TYPE
CSRR 100,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSDD 200,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSYY 200,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSPP 200,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSQQ 200,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSOO 200,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSCC 300,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSOO 300,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSMM 300,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSTT 300,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSAA 300,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSYY 400,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSYY 400-7,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSWW 400,REQ-CORE-BS-ComputerScience-1,FULFILLS
CSJJ 200,REQ-ELECTIVE-1-BS-ComputerScience-1,FULFILLS
CSNN 100,REQ-ELECTIVE-1-BS-ComputerScience-1,FULFILLS
CSMM 100-1,REQ-ELECTIVE-1-BS-ComputerScience-1,FULFILLS
CSFF 200,REQ-ELECTIVE-1-BS-ComputerScience-1,FULFILLS
CSJJ 100,REQ-ELECTIVE-1-BS-ComputerScience-1,FULFILLS
CSII 400,REQ-SPECIALIZATION-2-BS-ComputerScience-1,FULFILLS
BDDD 300,REQ-SPECIALIZATION-2-BS-ComputerScience-1,FULFILLS
CSCC 200,REQ-SPECIALIZATION-2-BS-ComputerScience-1,FULFILLS
CSYY 300,REQ-SPECIALIZATION-2-BS-ComputerScience-1,FULFILLS
CSLL 100,REQ-SPECIALIZATION-2-BS-ComputerScience-1,FULFILLS
CSLL 100,REQ-CORE-BA-ComputerScience-2,FULFILLS
CSPP 100,REQ-CORE-BA-ComputerScience-2,FULFILLS
CSHH 100,REQ-CORE-BA-ComputerScience-2,FULFILLS
CSQQ 200,REQ-CORE-BA-ComputerScience-2,FULFILLS
CSEE 200,REQ-CORE-BA-ComputerScience-2,FULFILLS
CSFF 200,REQ-CORE-BA-ComputerScience-2,FULFILLS
CSLL 300,REQ-CORE-BA-ComputerScience-2,FULFILLS
CSHH 300,REQ-CORE-BA-ComputerScience-2,FULFILLS
CSPP 300,REQ-CORE-BA-ComputerScience-2,FULFILLS
CSFF 300,REQ-CORE-BA-ComputerScience-2,FULFILLS
CSAA 300,REQ-CORE-BA-ComputerScience-2,FULFILLS
CSYY 400,REQ-CORE-BA-ComputerScience-2,FULFILLS
CSWW 400,REQ-CORE-BA-ComputerScience-2,FULFILLS
BTTT 200,REQ-CONCENTRATION-1-BA-ComputerScience-2,FULFILLS
CSOO 200,REQ-CONCENTRATION-1-BA-ComputerScience-2,FULFILLS
BZZZ 300,REQ-CONCENTRATION-1-BA-ComputerScience-2,FULFILLS
CSMM 100-1,REQ-CONCENTRATION-1-BA-ComputerScience-2,FULFILLS
BLLL 100,REQ-CONCENTRATION-1-BA-ComputerScience-2,FULFILLS
CSJJ 200,REQ-CONCENTRATION-1-BA-ComputerScience-2,FULFILLS
BKKK 100,REQ-CONCENTRATION-1-BA-ComputerScience-2,FULFILLS
CSAA 100,REQ-SPECIALIZATION-2-BA-ComputerScience-2,FULFILLS
BJJJ 400,REQ-SPECIALIZATION-2-BA-ComputerScience-2,FULFILLS
CSII 200-7,REQ-SPECIALIZATION-2-BA-ComputerScience-2,FULFILLS
CSMM 300,REQ-SPECIALIZATION-2-BA-ComputerScience-2,FULFILLS
CSLL 100-1,REQ-SPECIALIZATION-2-BA-ComputerScience-2,FULFILLS
BUUU 100,REQ-CORE-BS-Biology-1,FULFILLS
BLLL 100,REQ-CORE-BS-Biology-1,FULFILLS
BOOO 200,REQ-CORE-BS-Biology-1,FULFILLS
BVVV 200-5,REQ-CORE-BS-Biology-1,FULFILLS
BMMM 200,REQ-CORE-BS-Biology-1,FULFILLS
BCCC 200,REQ-CORE-BS-Biology-1,FULFILLS
BZZZ 200,REQ-CORE-BS-Biology-1,FULFILLS
BZZZ 300,REQ-CORE-BS-Biology-1,FULFILLS
BVVV 300,REQ-CORE-BS-Biology-1,FULFILLS
BZZZ 300-9,REQ-CORE-BS-Biology-1,FULFILLS
BPPP 300,REQ-CORE-BS-Biology-1,FULFILLS
BFFF 300,REQ-CORE-BS-Biology-1,FULFILLS
BEEE 300,REQ-CORE-BS-Biology-1,FULFILLS
BSSS 300,REQ-CORE-BS-Biology-1,FULFILLS
BQQQ 400,REQ-CORE-BS-Biology-1,FULFILLS
BJJJ 400,REQ-CORE-BS-Biology-1,FULFILLS
BRRR 400,REQ-CORE-BS-Biology-1,FULFILLS
