:START_ID(Course),:END_ID(Course),:TYPE,similarity:float
CSII 200,CSLL 300,SIMILAR_CONTENT,0.55
CSII 200,CSJJ 100,SIMILAR_CONTENT,0.55
CSII 200,CSEE 200,SIMILAR_CONTENT,0.54
CSII 200,CSYY 300,SIMILAR_CONTENT,0.25
CSII 200,CSPP 200-1,SIMILAR_CONTENT,0.76
CSII 200,CSHH 100,SIMILAR_CONTENT,0.26
CSII 200,CSII 200-7,SIMILAR_CONTENT,0.41
CSII 200,CSMM 300,SIMILAR_CONTENT,0.42
CSII 200,CSMM 100-1,SIMILAR_CONTENT,0.4
CSII 200,CSAA 100,SIMILAR_CONTENT,0.46
CSII 200,CSRR 100,SIMILAR_CONTENT,0.37
CSII 200,CSRR 300,SIMILAR_CONTENT,0.49
CSII 200,CSFF 300,SIMILAR_CONTENT,0.45
CSII 200,CSII 100,SIMILAR_CONTENT,0.31
CSII 200,CSRR 400,SIMILAR_CONTENT,0.43
CSII 200,CSSS 300,SIMILAR_CONTENT,0.37
CSII 200,CSJJ 200,SIMILAR_CONTENT,0.44
CSII 200,BWWW 200,SIMILAR_CONTENT,0.39
CSII 200,BAAA 200,SIMILAR_CONTENT,0.42
CSII 200,BZZZ 200,SIMILAR_CONTENT,0.3
CSUU 100,CSMM 100,SIMILAR_CONTENT,0.6
CSUU 100,CSYY 300,SIMILAR_CONTENT,0.19
CSUU 100,CSTT 300-2,SIMILAR_CONTENT,0.55
CSUU 100,CSFF 300,SIMILAR_CONTENT,0.43
CSUU 100,CSDD 200,SIMILAR_CONTENT,0.45
CSUU 100,CSQQ 200,SIMILAR_CONTENT,0.43
CSUU 100,CSTT 300,SIMILAR_CONTENT,0.31
CSUU 100,CSFF 200,SIMILAR_CONTENT,0.34
CSUU 100,CSYY 400-7,SIMILAR_CONTENT,0.49
CSUU 100,CSPP 100,SIMILAR_CONTENT,0.68
CSUU 100,CSNN 100,SIMILAR_CONTENT,0.5
CSUU 100,CSUU 100-3,SIMILAR_CONTENT,0.59
CSUU 100,CSLL 100-1,SIMILAR_CONTENT,0.4
CSUU 100,CSRR 100,SIMILAR_CONTENT,0.48
CSUU 100,BUUU 100,SIMILAR_CONTENT,0.48
CSUU 100,BLLL 100,SIMILAR_CONTENT,0.38
CSDD 200,CSMM 100,SIMILAR_CONTENT,0.66
CSDD 200,CSPP 200,SIMILAR_CONTENT,0.5
CSDD 200,CSNN 100,SIMILAR_CONTENT,0.17
CSDD 200,CSII 100,SIMILAR_CONTENT,0.49
CSDD 200,CSII 200,SIMILAR_CONTENT,0.47
CSDD 200,CSUU 100,SIMILAR_CONTENT,0.45
CSDD 200,CSCC 300,SIMILAR_CONTENT,0.31
CSDD 200,CSLL 100,SIMILAR_CONTENT,0.4
CSDD 200,CSLL 400,SIMILAR_CONTENT,0.33
CSDD 200,CSJJ 200,SIMILAR_CONTENT,0.51
CSDD 200,CSTT 300,SIMILAR_CONTENT,0.49
CSDD 200,CSMM 100-8,SIMILAR_CONTENT,0.39
CSDD 200,CSYY 300,SIMILAR_CONTENT,0.57
CSDD 200,CSRR 100,SIMILAR_CONTENT,0.49
CSDD 200,CSCC 200,SIMILAR_CONTENT,0.54
CSDD 200,CSSS 300,SIMILAR_CONTENT,0.31
CSDD 200,CSFF 200,SIMILAR_CONTENT,0.53
CSDD 200,BVVV 200-5,SIMILAR_CONTENT,0.43
CSDD 200,BMMM 200,SIMILAR_CONTENT,0.31
CSDD 200,BZZZ 200,SIMILAR_CONTENT,0.33
CSDD 200,CSDD 100,SIMILAR_CONTENT,0.48
CSDD 200,CSMM 100-1,SIMILAR_CONTENT,0.58
CSDD 200,CSAA 300,SIMILAR_CONTENT,0.56
CSDD 200,BAAA 100,SIMILAR_CONTENT,0.32
CSDD 200,BLLL 100,SIMILAR_CONTENT,0.31
CSCC 300,CSKK 300,SIMILAR_CONTENT,0.44
CSCC 300,CSNN 300,SIMILAR_CONTENT,0.64
CSCC 300,CSKK 100,SIMILAR_CONTENT,0.26
CSCC 300,CSWW 400,SIMILAR_CONTENT,0.21
CSCC 300,CSII 200,SIMILAR_CONTENT,0.39
CSCC 300,CSLL 400,SIMILAR_CONTENT,0.49
CSCC 300,CSHH 300,SIMILAR_CONTENT,0.49
CSCC 300,CSYY 300,SIMILAR_CONTENT,0.41
CSCC 300,CSRR 100,SIMILAR_CONTENT,0.4
CSCC 300,CSSS 300,SIMILAR_CONTENT,0.65
CSCC 300,CSLL 300,SIMILAR_CONTENT,0.61
CSCC 300,CSTT 300,SIMILAR_CONTENT,0.42
CSCC 300,CSAA 300,SIMILAR_CONTENT,0.42
CSCC 300,BDDD 300,SIMILAR_CONTENT,0.4
CSCC 300,BSSS 300,SIMILAR_CONTENT,0.44
CSCC 300,CSPP 300,SIMILAR_CONTENT,0.6
CSLL 300,CSMM 100,SIMILAR_CONTENT,0.35
CSLL 300,CSLL 400,SIMILAR_CONTENT,0.49
CSLL 300,CSFF 200,SIMILAR_CONTENT,0.48
CSLL 300,CSTT 300-2,SIMILAR_CONTENT,0.27
CSLL 300,CSII 400,SIMILAR_CONTENT,0.42
CSLL 300,CSDD 200,SIMILAR_CONTENT,0.32
CSLL 300,CSCC 300,SIMILAR_CONTENT,0.57
CSLL 300,CSLL 100,SIMILAR_CONTENT,0.36
CSLL 300,CSPP 100,SIMILAR_CONTENT,0.39
CSLL 300,CSQQ 200,SIMILAR_CONTENT,0.5
CSLL 300,CSJJ 100,SIMILAR_CONTENT,0.42
CSLL 300,CSEE 200,SIMILAR_CONTENT,0.38
CSLL 300,CSNN 100,SIMILAR_CONTENT,0.36
