:START_ID(Course),:END_ID(Course),:TYPE,similarity:float
CSII 200,CSPP 300,SIMILAR_DIFFICULTY,1.0
CSII 200,CSLL 300,SIMILAR_DIFFICULTY,0.8
CSII 200,CSPP 200-1,SIMILAR_DIFFICULTY,0.8
CSII 200,BAAA 200,SIMILAR_DIFFICULTY,0.8
CSII 200,CSUU 100,SIMILAR_DIFFICULTY,0.8
CSII 200,CSTT 300-2,SIMILAR_DIFFICULTY,0.8
CSII 200,BQQQ 400-5,SIMILAR_DIFFICULTY,0.8
CSII 200,BXXX 400-1,SIMILAR_DIFFICULTY,0.8
CSII 200,CSII 400,SIMILAR_DIFFICULTY,0.8
CSUU 100,CSLL 300,SIMILAR_DIFFICULTY,1.0
CSUU 100,BEEE 300,SIMILAR_DIFFICULTY,1.0
CSUU 100,BGGG 400,SIMILAR_DIFFICULTY,0.8
CSUU 100,BCCC 200-8,SIMILAR_DIFFICULTY,1.0
CSUU 100,CSAA 100,SIMILAR_DIFFICULTY,0.8
CSUU 100,CSII 100,SIMILAR_DIFFICULTY,1.0
CSUU 100,BZZZ 200,SIMILAR_DIFFICULTY,0.8
CSUU 100,CSMM 100-1,SIMILAR_DIFFICULTY,1.0
CSUU 100,BOOO 200,SIMILAR_DIFFICULTY,0.8
CSDD 200,BQQQ 400,SIMILAR_DIFFICULTY,1.0
CSDD 200,CSUU 100,SIMILAR_DIFFICULTY,1.0
CSDD 200,CSNN 300,SIMILAR_DIFFICULTY,1.0
CSDD 200,BJJJ 400,SIMILAR_DIFFICULTY,1.0
CSDD 200,CSSS 300,SIMILAR_DIFFICULTY,0.8
CSDD 200,CSDD 100,SIMILAR_DIFFICULTY,0.8
CSDD 200,BYYY 400,SIMILAR_DIFFICULTY,0.8
CSDD 200,BAAA 200,SIMILAR_DIFFICULTY,1.0
CSDD 200,BJJJ 100,SIMILAR_DIFFICULTY,0.8
CSDD 200,CSMM 100-1,SIMILAR_DIFFICULTY,1.0
CSCC 300,CSLL 100,SIMILAR_DIFFICULTY,0.8
CSCC 300,CSOO 300,SIMILAR_DIFFICULTY,0.8
CSCC 300,CSSS 300,SIMILAR_DIFFICULTY,1.0
CSCC 300,BLLL 300,SIMILAR_DIFFICULTY,0.8
CSCC 300,BVVV 300,SIMILAR_DIFFICULTY,0.8
CSCC 300,BZZZ 300-9,SIMILAR_DIFFICULTY,0.8
CSLL 300,CSTT 300,SIMILAR_DIFFICULTY,1.0
CSLL 300,BKKK 100,SIMILAR_DIFFICULTY,1.0
CSLL 300,CSII 100,SIMILAR_DIFFICULTY,1.0
CSLL 300,BRRR 400,SIMILAR_DIFFICULTY,1.0
CSLL 300,BAAA 200-8,SIMILAR_DIFFICULTY,0.8
CSLL 300,BNNN 300,SIMILAR_DIFFICULTY,0.8
CSLL 300,CSCC 300,SIMILAR_DIFFICULTY,0.8
CSLL 300,BIII 100,SIMILAR_DIFFICULTY,0.8
CSLL 300,CSOO 300,SIMILAR_DIFFICULTY,1.0
CSLL 300,CSMM 100,SIMILAR_DIFFICULTY,0.8
CSYY 200,BWWW 200,SIMILAR_DIFFICULTY,0.8
CSYY 200,BJJJ 100,SIMILAR_DIFFICULTY,0.8
CSYY 200,BLLL 300,SIMILAR_DIFFICULTY,1.0
CSYY 200,CSII 100,SIMILAR_DIFFICULTY,1.0
CSYY 200,BZZZ 300,SIMILAR_DIFFICULTY,0.8
CSYY 200,BAAA 100,SIMILAR_DIFFICULTY,0.8
CSYY 200,CSYY 400,SIMILAR_DIFFICULTY,0.8
CSYY 200,BNNN 300,SIMILAR_DIFFICULTY,0.8
CSMM 100,CSPP 200,SIMILAR_DIFFICULTY,1.0
CSMM 100,CSII 400,SIMILAR_DIFFICULTY,0.8
CSMM 100,BEEE 300,SIMILAR_DIFFICULTY,0.8
CSMM 100,CSRR 400,SIMILAR_DIFFICULTY,1.0
CSMM 100,CSJJ 100,SIMILAR_DIFFICULTY,0.8
CSMM 100,BYYY 400,SIMILAR_DIFFICULTY,1.0
CSDD 100,CSII 400,SIMILAR_DIFFICULTY,0.8
CSDD 100,CSDD 200,SIMILAR_DIFFICULTY,0.8
CSDD 100,CSYY 400,SIMILAR_DIFFICULTY,1.0
CSDD 100,BVVV 300-8,SIMILAR_DIFFICULTY,0.8
CSDD 100,BCCC 200,SIMILAR_DIFFICULTY,0.8
CSDD 100,CSSS 300,SIMILAR_DIFFICULTY,1.0
CSDD 100,CSLL 100,SIMILAR_DIFFICULTY,0.8
CSDD 100,CSMM 100-1,SIMILAR_DIFFICULTY,0.8
CSLL 100,BAAA 200,SIMILAR_DIFFICULTY,1.0
CSLL 100,CSFF 300,SIMILAR_DIFFICULTY,1.0
CSLL 100,CSQQ 200,SIMILAR_DIFFICULTY,1.0
CSLL 100,CSYY 400-7,SIMILAR_DIFFICULTY,0.8
CSLL 100,CSJJ 100,SIMILAR_DIFFICULTY,1.0
CSLL 100,CSAA 100,SIMILAR_DIFFICULTY,0.8
CSLL 100,CSCC 200,SIMILAR_DIFFICULTY,0.8
CSLL 100,BVVV 200,SIMILAR_DIFFICULTY,0.8
CSLL 100,CSLL 400,SIMILAR_DIFFICULTY,0.8
CSPP 100,BVVV 200,SIMILAR_DIFFICULTY,0.8
CSPP 100,CSQQ 200,SIMILAR_DIFFICULTY,1.0
CSPP 100,CSMM 100-1,SIMILAR_DIFFICULTY,1.0
CSPP 100,BEEE 300,SIMILAR_DIFFICULTY,1.0
CSPP 100,CSTT 300-2,SIMILAR_DIFFICULTY,1.0
CSPP 100,CSLL 400,SIMILAR_DIFFICULTY,0.8
CSPP 100,CSHH 300,SIMILAR_DIFFICULTY,0.8
CSPP 100,BFFF 300,SIMILAR_DIFFICULTY,1.0
