:START_ID(Course),:END_ID(Term),:TYPE
CSII 200,Fall2021,OFFERED_IN
CSII 200,Fall2022,OFFERED_IN
CSII 200,Fall2023,OFFERED_IN
CSII 200,Fall2024,OFFERED_IN
CSII 200,Spring2021,OFFERED_IN
CSII 200,Spring2022,OFFERED_IN
CSII 200,Spring2023,OFFERED_IN
CSII 200,Spring2024,OFFERED_IN
CSII 200,Summer2021,OFFERED_IN
CSII 200,Summer2022,OFFERED_IN
CSII 200,Summer2023,OFFERED_IN
CSII 200,Summer2024,OFFERED_IN
CSUU 100,Fall2021,OFFERED_IN
CSUU 100,Fall2022,OFFERED_IN
CSUU 100,Fall2023,OFFERED_IN
CSUU 100,Fall2024,OFFERED_IN
CSUU 100,Spring2021,OFFERED_IN
CSUU 100,Spring2022,OFFERED_IN
CSUU 100,Spring2023,OFFERED_IN
CSUU 100,Spring2024,OFFERED_IN
CSDD 200,Fall2021,OFFERED_IN
CSDD 200,Fall2022,OFFERED_IN
CSDD 200,Fall2023,OFFERED_IN
CSDD 200,Fall2024,OFFERED_IN
CSDD 200,Spring2021,OFFERED_IN
CSDD 200,Spring2022,OFFERED_IN
CSDD 200,Spring2023,OFFERED_IN
CSDD 200,Spring2024,OFFERED_IN
CSDD 200,Summer2021,OFFERED_IN
CSDD 200,Summer2022,OFFERED_IN
CSDD 200,Summer2023,OFFERED_IN
CSDD 200,Summer2024,OFFERED_IN
CSCC 300,Fall2021,OFFERED_IN
CSCC 300,Fall2022,OFFERED_IN
CSCC 300,Fall2023,OFFERED_IN
CSCC 300,Fall2024,OFFERED_IN
CSCC 300,Spring2021,OFFERED_IN
CSCC 300,Spring2022,OFFERED_IN
CSCC 300,Spring2023,OFFERED_IN
CSCC 300,Spring2024,OFFERED_IN
CSCC 300,Summer2021,OFFERED_IN
CSCC 300,Summer2022,OFFERED_IN
CSCC 300,Summer2023,OFFERED_IN
CSCC 300,Summer2024,OFFERED_IN
CSLL 300,Fall2021,OFFERED_IN
CSLL 300,Fall2022,OFFERED_IN
CSLL 300,Fall2023,OFFERED_IN
