:START_ID(Course),:END_ID(Textbook),:TYPE,isRequired:boolean,recommendedOrder:int
CSII 200,TXT-Com-200-1,REQUIRES,True,1
CSUU 100,TXT-Com-100-1,REQUIRES,True,1
CSDD 200,TXT-Com-200-1,REQUIRES,True,1
CSDD 200,TXT-Com-200-2,RECOMMENDS,False,2
CSCC 300,TXT-Com-300-1,REQUIRES,True,1
CSCC 300,TXT-Com-300-2,RECOMMENDS,False,2
CSCC 300,TXT-Com-300-3,RECOMMENDS,False,3
CSLL 300,TXT-Com-300-1,REQUIRES,True,1
CSLL 300,TXT-Com-300-2,RECOMMENDS,False,2
CSYY 200,TXT-Com-200-1,REQUIRES,True,1
CSYY 200,TXT-Com-200-2,RECOMMENDS,False,2
CSYY 200,TXT-Com-200-3,RECOMMENDS,False,3
CSMM 100,TXT-Com-100-1,REQUIRES,True,1
CSMM 100,TXT-Com-100-2,RECOMMENDS,False,2
CSMM 100,TXT-Com-100-3,RECOMMENDS,False,3
CSDD 100,TXT-Com-100-1,REQUIRES,True,1
CSDD 100,TXT-Com-100-2,RECOMMENDS,False,2
CSLL 100,TXT-Com-100-1,REQUIRES,True,1
CSLL 100,TXT-Com-100-2,RECOMMENDS,False,2
CSPP 100,TXT-Com-100-1,REQUIRES,True,1
CSPP 100,TXT-Com-100-2,RECOMMENDS,False,2
CSKK 300,TXT-Com-300-1,REQUIRES,True,1
CSPP 200,TXT-Com-200-1,REQUIRES,True,1
CSPP 200,TXT-Com-200-2,RECOMMENDS,False,2
CSPP 200,TXT-Com-200-3,RECOMMENDS,False,3
CSII 200-7,TXT-Com-200-1,REQUIRES,True,1
CSII 200-7,TXT-Com-200-2,RECOMMENDS,False,2
CSQQ 200,TXT-Com-200-1,REQUIRES,True,1
CSQQ 200,TXT-Com-200-2,RECOMMENDS,False,2
CSJJ 100,TXT-Com-100-1,REQUIRES,True,1
CSEE 200,TXT-Com-200-1,REQUIRES,True,1
CSEE 200,TXT-Com-200-2,RECOMMENDS,False,2
CSEE 200,TXT-Com-200-3,RECOMMENDS,False,3
CSOO 300,TXT-Com-300-1,REQUIRES,True,1
CSMM 300,TXT-Com-300-1,REQUIRES,True,1
CSMM 300,TXT-Com-300-2,RECOMMENDS,False,2
CSLL 400,TXT-Com-400-1,REQUIRES,True,1
CSLL 400,TXT-Com-400-2,RECOMMENDS,False,2
CSNN 100,TXT-Com-100-1,REQUIRES,True,1
CSJJ 200,TXT-Com-200-1,REQUIRES,True,1
CSTT 300,TXT-Com-300-1,REQUIRES,True,1
CSTT 300,TXT-Com-300-2,RECOMMENDS,False,2
CSTT 300,TXT-Com-300-3,RECOMMENDS,False,3
CSMM 100-8,TXT-Com-100-1,REQUIRES,True,1
CSHH 300,TXT-Com-300-1,REQUIRES,True,1
CSHH 300,TXT-Com-300-2,RECOMMENDS,False,2
CSHH 300,TXT-Com-300-3,RECOMMENDS,False,3
CSYY 300,TXT-Com-300-1,REQUIRES,True,1
CSUU 100-3,TXT-Com-100-1,REQUIRES,True,1
CSMM 100-1,TXT-Com-100-1,REQUIRES,True,1
CSOO 200,TXT-Com-200-1,REQUIRES,True,1
CSNN 300,TXT-Com-300-1,REQUIRES,True,1
CSNN 300,TXT-Com-300-2,RECOMMENDS,False,2
CSNN 300,TXT-Com-300-3,RECOMMENDS,False,3
CSFF 200,TXT-Com-200-1,REQUIRES,True,1
CSFF 200,TXT-Com-200-2,RECOMMENDS,False,2
CSLL 100-1,TXT-Com-100-1,REQUIRES,True,1
CSLL 100-1,TXT-Com-100-2,RECOMMENDS,False,2
CSAA 100,TXT-Com-100-1,REQUIRES,True,1
CSPP 300,TXT-Com-300-1,REQUIRES,True,1
CSRR 100,TXT-Com-100-1,REQUIRES,True,1
CSTT 300-2,TXT-Com-300-1,REQUIRES,True,1
CSTT 300-2,TXT-Com-300-2,RECOMMENDS,False,2
CSTT 300-2,TXT-Com-300-3,RECOMMENDS,False,3
