:START_ID(Student),:END_ID(Course),:TYPE,term,grade,difficulty:int,timeSpent:int,instructionMode,enjoyment:boolean
EE11092,CSNN 100,COMPLETED,Summer2024,C+,4,9,Online,false
KG30374,BBBB 100,COMPLETED,Spring2024,B,2,5,Online,true
KG30374,CSDD 200,COMPLETED,Spring2024,C+,3,5,Online,false
KG30374,BBBB 100-3,COMPLETED,Summer2024,C,3,7,In-person,false
KG30374,BFFF 100,COMPLETED,Summer2024,B+,3,5,Hybrid,true
FS65039,CSKK 200-4,COMPLETED,Summer2022,D+,4,6,In-person,false
FS65039,BFFF 100-4-1,COMPLETED,Summer2022,B-,3,7,Hybrid,false
FS65039,CSVV 100,COMPLETED,Summer2022,B,3,7,In-person,true
FS65039,CSKK 200,COMPLETED,Fall2022,C,4,8,In-person,false
FS65039,BEEE 100,COMPLETED,Fall2022,B+,3,6,In-person,true
FS65039,BUUU 100,COMPLETED,Fall2022,C-,3,4,In-person,false
FS65039,BMMM 200,COMPLETED,Spring2023,C+,2,8,Online,false
FS65039,BBBB 100-3,COMPLETED,Spring2023,B+,3,9,In-person,true
FS65039,CSMM 100,COMPLETED,Summer2023,B-,2,4,In-person,false
FS65039,CSNN 100,COMPLETED,Summer2023,C,4,8,In-person,false
FS65039,CSYY 200,COMPLETED,Fall2023,B+,3,4,In-person,true
FS65039,BNNN 200-7,COMPLETED,Spring2024,D,5,8,In-person,false
FS65039,CSOO 100,COMPLETED,Spring2024,B,4,7,In-person,true
FS65039,CSDD 200,COMPLETED,Summer2024,A-,3,8,In-person,true
FS65039,BEEE 300,COMPLETED,Summer2024,B-,2,7,In-person,false
FS65039,BEEE 200,COMPLETED,Summer2024,A-,3,5,Online,true
FS65039,BFFF 100-4,COMPLETED,Summer2024,B-,2,2,In-person,false
IZ92462,BEEE 200,COMPLETED,Summer2024,B+,3,6,Online,true
IZ92462,CSKK 200-4,COMPLETED,Summer2024,C+,4,9,In-person,false
IZ92462,CSNN 100,COMPLETED,Summer2024,B,4,7,Online,true
IZ92462,BBBB 100-3,COMPLETED,Summer2024,A,3,5,Online,true
GO32860,CSDD 200,COMPLETED,Fall2023,B+,3,6,In-person,true
GO32860,CSYY 200-1,COMPLETED,Fall2023,B+,2,8,In-person,true
GO32860,CSKK 200-4,COMPLETED,Fall2023,A,4,6,In-person,true
GO32860,BFFF 100,COMPLETED,Fall2023,B-,3,4,Online,false
GO32860,BUUU 100,COMPLETED,Spring2024,C+,3,5,Online,false
GO32860,BBBB 200-9,COMPLETED,Summer2024,A,3,5,In-person,true
YW20891,BUUU 100,COMPLETED,Summer2024,A,3,5,Online,true
IH16741,BFFF 100-4-1,COMPLETED,Summer2024,B-,3,5,Hybrid,false
LP43423,CSNN 100,COMPLETED,Summer2024,D+,4,6,In-person,false
LP43423,BBBB 100-3,COMPLETED,Summer2024,C,3,7,In-person,false
LP43423,BEEE 200,COMPLETED,Summer2024,B,3,5,Online,true
LI49525,BEEE 200,COMPLETED,Summer2023,C+,3,5,Online,false
LI49525,BFFF 100-4-1,COMPLETED,Summer2023,B+,3,5,Online,true
LI49525,BBBB 100-3,COMPLETED,Fall2023,C,3,8,Online,false
LI49525,BWWW 200,COMPLETED,Spring2024,C-,3,5,In-person,false
LI49525,CSMM 100,COMPLETED,Summer2024,B,2,6,In-person,true
LI49525,BMMM 200,COMPLETED,Summer2024,C+,2,8,Online,false
SU37219,BEEE 200,COMPLETED,Fall2023,B+,3,4,Online,true
SU37219,CSEE 200,COMPLETED,Fall2023,B,4,7,In-person,true
SU37219,BLLL 100,COMPLETED,Fall2023,C,3,7,In-person,false
