:START_ID(Course),:END_ID(Course),:TYPE,similarity:float
CSSS 300,CSZZ 200,SIMILAR_CONTENT,0.38
CSSS 300,CSRR 300-2,SIMILAR_CONTENT,0.26
CSSS 300,CSMM 300,SIMILAR_CONTENT,0.46
CSSS 300,CSRR 300-6,SIMILAR_CONTENT,0.48
CSSS 300,CSJJ 100-4,SIMILAR_CONTENT,0.45
CSSS 300,CSAA 300-4,SIMILAR_CONTENT,0.53
CSSS 300,CSQQ 400,SIMILAR_CONTENT,0.39
CSSS 300,CSVV 300,SIMILAR_CONTENT,0.49
CSSS 300,CSOO 300,SIMILAR_CONTENT,0.59
CSSS 300,CSRR 400,SIMILAR_CONTENT,0.34
CSSS 300,CSVV 200,SIMILAR_CONTENT,0.47
CSSS 300,CSRR 300,SIMILAR_CONTENT,0.45
CSSS 300,CSCC 300,SIMILAR_CONTENT,0.49
CSSS 300,CSOO 300-9,SIMILAR_CONTENT,0.5
CSSS 300,BIII 300,SIMILAR_CONTENT,0.4
CSSS 300,BRRR 300-8,SIMILAR_CONTENT,0.41
CSNN 300,CSSS 300,SIMILAR_CONTENT,0.43
CSNN 300,CSJJ 100-4,SIMILAR_CONTENT,0.14
CSNN 300,CSOO 300,SIMILAR_CONTENT,0.48
CSNN 300,CSRR 400,SIMILAR_CONTENT,0.39
CSNN 300,CSZZ 100,SIMILAR_CONTENT,0.35
CSNN 300,CSVV 200,SIMILAR_CONTENT,0.18
CSNN 300,CSHH 200,SIMILAR_CONTENT,0.35
CSNN 300,CSGG 300-2,SIMILAR_CONTENT,0.52
CSNN 300,CSSS 100,SIMILAR_CONTENT,0.4
CSNN 300,CSII 200,SIMILAR_CONTENT,0.43
CSNN 300,CSPP 200,SIMILAR_CONTENT,0.36
CSNN 300,CSKK 400,SIMILAR_CONTENT,0.43
CSNN 300,CSVV 300,SIMILAR_CONTENT,0.52
CSNN 300,CSSS 400,SIMILAR_CONTENT,0.38
CSNN 300,CSAA 200,SIMILAR_CONTENT,0.47
CSNN 300,CSRR 300,SIMILAR_CONTENT,0.43
CSNN 300,CSCC 300,SIMILAR_CONTENT,0.48
CSNN 300,BIII 300,SIMILAR_CONTENT,0.46
CSNN 300,BQQQ 300-9,SIMILAR_CONTENT,0.43
CSNN 300,CSMM 300,SIMILAR_CONTENT,0.62
CSXX 400,CSKK 200,SIMILAR_CONTENT,0.62
CSXX 400,CSJJ 100,SIMILAR_CONTENT,0.32
CSXX 400,CSSS 100,SIMILAR_CONTENT,0.56
CSXX 400,CSRR 300-6-7,SIMILAR_CONTENT,0.37
CSXX 400,CSVV 300,SIMILAR_CONTENT,0.54
CSXX 400,CSZZ 200,SIMILAR_CONTENT,0.38
CSXX 400,CSRR 300,SIMILAR_CONTENT,0.39
CSXX 400,CSJJ 100-4,SIMILAR_CONTENT,0.47
CSXX 400,CSMM 100,SIMILAR_CONTENT,0.35
CSXX 400,CSCC 300,SIMILAR_CONTENT,0.42
CSXX 400,CSDD 200,SIMILAR_CONTENT,0.47
CSXX 400,CSGG 400,SIMILAR_CONTENT,0.44
CSXX 400,CSSS 400,SIMILAR_CONTENT,0.49
CSXX 400,CSRR 400,SIMILAR_CONTENT,0.4
CSXX 400,BFFF 400,SIMILAR_CONTENT,0.34
CSXX 400,BDDD 400,SIMILAR_CONTENT,0.45
CSXX 400,CSAA 200,SIMILAR_CONTENT,0.42
CSKK 200,CSII 200,SIMILAR_CONTENT,0.4
CSKK 200,CSGG 300-8,SIMILAR_CONTENT,0.13
CSKK 200,CSNN 300,SIMILAR_CONTENT,0.48
CSKK 200,CSKK 200-4,SIMILAR_CONTENT,0.57
CSKK 200,CSXX 200,SIMILAR_CONTENT,0.43
CSKK 200,CSAA 300-2,SIMILAR_CONTENT,0.46
CSKK 200,CSJJ 100-4,SIMILAR_CONTENT,0.38
CSKK 200,CSRR 300-6-7,SIMILAR_CONTENT,0.34
CSKK 200,CSRR 300-2,SIMILAR_CONTENT,0.49
CSKK 200,CSPP 200,SIMILAR_CONTENT,0.43
CSKK 200,CSOO 100,SIMILAR_CONTENT,0.42
CSKK 200,CSUU 400,SIMILAR_CONTENT,0.39
CSKK 200,CSYY 200-1,SIMILAR_CONTENT,0.41
CSKK 200,CSVV 200,SIMILAR_CONTENT,0.52
CSHH 200,CSAA 300,SIMILAR_CONTENT,0.68
CSHH 200,CSRR 300-2,SIMILAR_CONTENT,0.45
CSHH 200,CSQQ 400,SIMILAR_CONTENT,0.19
CSHH 200,CSVV 300,SIMILAR_CONTENT,0.55
CSHH 200,CSOO 300,SIMILAR_CONTENT,0.36
CSHH 200,CSEE 200,SIMILAR_CONTENT,0.63
CSHH 200,CSZZ 100,SIMILAR_CONTENT,0.41
CSHH 200,CSKK 200,SIMILAR_CONTENT,0.56
CSHH 200,CSKK 200-4,SIMILAR_CONTENT,0.43
CSHH 200,CSRR 300-6,SIMILAR_CONTENT,0.47
CSHH 200,CSII 200,SIMILAR_CONTENT,0.47
CSHH 200,CSAA 300-4,SIMILAR_CONTENT,0.49
CSHH 200,CSKK 400,SIMILAR_CONTENT,0.41
CSHH 200,CSUU 400,SIMILAR_CONTENT,0.45
CSHH 200,CSUU 200,SIMILAR_CONTENT,0.46
CSHH 200,CSAA 200,SIMILAR_CONTENT,0.53
CSHH 200,CSZZ 200,SIMILAR_CONTENT,0.52
CSHH 200,BIII 200,SIMILAR_CONTENT,0.34
CSHH 200,BCCC 200,SIMILAR_CONTENT,0.41
CSGG 300,CSHH 200,SIMILAR_CONTENT,0.34
CSGG 300,CSRR 300-2,SIMILAR_CONTENT,0.57
CSGG 300,CSXX 100,SIMILAR_CONTENT,0.66
CSGG 300,CSYY 200,SIMILAR_CONTENT,0.53
CSGG 300,CSOO 300,SIMILAR_CONTENT,0.16
CSGG 300,CSXX 400,SIMILAR_CONTENT,0.37
CSGG 300,CSRR 300-6,SIMILAR_CONTENT,0.46
CSGG 300,CSJJ 100-4,SIMILAR_CONTENT,0.31
CSGG 300,CSPP 200,SIMILAR_CONTENT,0.3
CSGG 300,CSNN 100,SIMILAR_CONTENT,0.49
CSGG 300,CSMM 100,SIMILAR_CONTENT,0.4
CSGG 300,CSSS 400,SIMILAR_CONTENT,0.31
CSGG 300,CSEE 200,SIMILAR_CONTENT,0.47
CSGG 300,CSGG 300-8,SIMILAR_CONTENT,0.41
CSGG 300,CSZZ 100,SIMILAR_CONTENT,0.35
CSGG 300,CSGG 300-2,SIMILAR_CONTENT,0.56
CSGG 300,BJJJ 300,SIMILAR_CONTENT,0.38
CSGG 300,BFFF 300,SIMILAR_CONTENT,0.37
CSGG 300,BTTT 300,SIMILAR_CONTENT,0.37
CSGG 300,BQQQ 300-9,SIMILAR_CONTENT,0.48
CSGG 300,BEEE 300,SIMILAR_CONTENT,0.41
CSFF 400,CSMM 300,SIMILAR_CONTENT,0.68
CSFF 400,CSUU 200,SIMILAR_CONTENT,0.58
CSFF 400,CSNN 300,SIMILAR_CONTENT,0.47
