id:ID(Course),name,department,credits:int,level:int,avgDifficulty:float,avgTimeCommitment:int,termAvailability,instructionModes,tags,visualLearnerSuccess:float,auditoryLearnerSuccess:float,kinestheticLearnerSuccess:float,readingLearnerSuccess:float
CSSS 300,Computer Graphics I,Computer Science,3,300,3,7,Fall;Spring;Summer,In-person,Computer Science;Level-3,0.9299999999999999,0.77,0.84,0.79
CSNN 300,Quantum Computing Analysis,Computer Science,1,300,1,5,Fall;Spring,In-person,Computer Science;Level-3;Analysis,0.97,0.67,0.82,0.67
CSXX 400,Special Topics in Cloud Computing,Computer Science,1,400,3,8,Fall;Spring,In-person;Online,Computer Science;Level-4;Cloud,0.92,0.63,0.85,0.93
CSKK 200,Robotics,Computer Science,4,200,4,9,Fall;Spring,In-person,Computer Science;Level-2;Robotics,0.75,0.64,0.62,0.62
CSHH 200,IoT Development,Computer Science,3,200,2,5,Fall;Spring,In-person;Hybrid,Computer Science;Level-2;IoT,0.74,0.83,0.91,0.97
CSGG 300,Edge Computing Methods,Computer Science,3,300,3,9,Fall;Spring,In-person;Online,Computer Science;Level-3;Methods,0.97,0.68,0.74,0.8
CSFF 400,Special Topics in Distributed Systems,Computer Science,3,400,4,9,Fall;Spring,In-person;Online,Computer Science;Level-4;Systems;Distributed,0.62,0.72,0.6,0.86
CSGG 300-2,Mobile Computing Theory,Computer Science,3,300,2,7,Fall;Spring,In-person,Computer Science;Level-3;Theory;Mobile,0.97,1.0,0.91,0.93
CSZZ 200,Distributed Systems,Computer Science,3,200,4,7,Fall;Spring,In-person;Hybrid,Computer Science;Level-2;Systems;Distributed,0.94,0.67,0.62,0.96
CSKK 200-4,Web Development,Computer Science,3,200,4,8,Fall;Spring;Summer,In-person,Computer Science;Level-2;Web,0.78,0.66,0.83,0.82
CSRR 300,Machine Learning Methods,Computer Science,3,300,2,6,Fall;Spring,In-person;Online,Computer Science;Level-3;Methods,0.86,0.65,0.9,0.75
CSXX 200,Algorithms,Computer Science,3,200,2,7,Fall;Spring,In-person;Hybrid,Computer Science;Level-2,0.65,0.77,0.78,0.76
CSJJ 100,Introduction to Programming Languages,Computer Science,3,100,2,5,Fall;Spring,In-person;Online,Computer Science;Level-1;Intro;Programming,0.82,0.93,0.63,1.0
CSBB 200,Machine Learning,Computer Science,3,200,2,7,Fall;Spring;Summer,In-person;Online,Computer Science;Level-2,0.67,0.95,0.79,0.81
CSRR 300-6,Data Science Applications,Computer Science,4,300,3,9,Fall;Spring,In-person,Computer Science;Level-3;Data;Applications;Data Science,0.95,0.72,0.84,0.74
CSSS 100,Introduction to Compiler Design,Computer Science,3,100,4,6,Fall;Spring,In-person;Online;Hybrid,Computer Science;Level-1;Intro;Design;Compiler,0.8800000000000001,0.67,0.72,0.91
CSAA 300,Introduction to Programming Methods,Computer Science,3,300,3,8,Fall;Spring;Summer,In-person,Computer Science;Level-3;Intro;Programming;Methods,0.82,0.7,0.84,0.85
CSAA 300-2,Theory of Computation Theory,Computer Science,3,300,3,8,Fall;Spring,In-person,Computer Science;Level-3;Theory,1.0,0.97,0.82,0.95
CSJJ 100-4,Basic Big Data Analytics,Computer Science,3,100,4,7,Fall;Spring,In-person,Computer Science;Level-1;Data,0.77,0.75,0.69,0.7
CSVV 100,Introduction to Computer Graphics,Computer Science,3,100,3,7,Fall;Spring;Summer,In-person;Online;Hybrid,Computer Science;Level-1;Intro,1.0,0.74,1.0,0.98
CSRR 300-6-7,Database Systems Theory,Computer Science,4,300,4,10,Fall;Spring,In-person;Online;Hybrid,Computer Science;Level-3;Data;Theory;Systems,0.69,1.0,0.98,0.83
CSRR 300-2,IoT Development Analysis,Computer Science,3,300,2,7,Fall;Spring,In-person,Computer Science;Level-3;Analysis;IoT,0.62,0.79,0.82,0.88
CSII 200,Artificial Intelligence,Computer Science,3,200,4,7,Fall;Spring,In-person,Computer Science;Level-2,0.75,0.92,0.94,0.74
CSPP 200,Data Structures,Computer Science,3,200,3,6,Fall;Spring,In-person;Online;Hybrid,Computer Science;Level-2;Data,0.84,0.64,0.63,0.65
CSNN 100,Fundamentals of Robotics,Computer Science,1,100,4,7,Fall;Spring;Summer,In-person;Online,Computer Science;Level-1;Robotics,0.94,0.89,0.71,0.82
CSAA 300-4,Programming Languages Methods,Computer Science,3,300,4,10,Fall;Spring,In-person,Computer Science;Level-3;Programming;Methods,0.8,0.94,0.88,0.96
CSKK 400,Advanced Quantum Computing,Computer Science,3,400,2,7,Fall;Spring;Summer,In-person,Computer Science;Level-4;Advanced,0.62,0.86,0.93,0.65
CSOO 100,Basic Computer Architecture,Computer Science,1,100,4,6,Fall;Spring,In-person;Online,Computer Science;Level-1,0.71,0.91,0.67,0.96
CSXX 100,Fundamentals of Computer Graphics,Computer Science,1,100,3,6,Fall;Spring,In-person;Online,Computer Science;Level-1,1.0,0.83,0.81,0.8
CSQQ 400,Special Topics in DevOps,Computer Science,1,400,4,9,Fall;Spring,In-person;Online,Computer Science;Level-4,0.66,0.73,0.97,0.87
CSMM 100,Principles of Natural Language Processing,Computer Science,3,100,2,6,Fall;Spring;Summer,In-person,Computer Science;Level-1,0.83,0.75,0.71,0.92
CSCC 300,Blockchain Technology Methods,Computer Science,3,300,2,7,Fall;Spring,In-person;Online,Computer Science;Level-3;Methods;AI;Blockchain,0.81,0.93,0.87,0.63
CSVV 300,Data Science Applications,Computer Science,3,300,4,9,Fall;Spring,In-person;Online,Computer Science;Level-3;Data;Applications;Data Science,0.83,0.6,0.95,0.64
CSYY 200,Computer Graphics,Computer Science,3,200,3,6,Fall;Spring;Summer,In-person;Online;Hybrid,Computer Science;Level-2,0.97,0.64,0.81,0.66
CSKK 300,Natural Language Processing Analysis,Computer Science,3,300,3,9,Fall;Spring,In-person,Computer Science;Level-3;Analysis,0.77,0.86,0.67,0.78
CSOO 300,Algorithms Analysis,Computer Science,2,300,3,8,Fall;Spring,In-person;Online,Computer Science;Level-3;Analysis,0.81,0.9,0.8,0.62
CSUU 400,Special Topics in Database Systems,Computer Science,1,400,2,8,Fall;Spring,In-person;Online;Hybrid,Computer Science;Level-4;Data;Systems,0.77,0.7,0.75,0.99
