:START_ID(Student),:END_ID(Course),:TYPE
QB79532,BOOO 200-2,ENROLLED_IN
QB79532,CSZZ 100,ENROLLED_IN
IW07367,CSMM 100,ENROLLED_IN
EE11092,CSII 200,ENROLLED_IN
EE11092,CSJJ 100-4,ENROLLED_IN
KG30374,CSMM 100,ENROLLED_IN
KG30374,BXXX 200,ENROLLED_IN
FS65039,CSEE 200,ENROLLED_IN
FS65039,BLLL 100,ENROLLED_IN
IZ92462,CSJJ 100-4,ENROLLED_IN
IZ92462,CSXX 100,ENROLLED_IN
IZ92462,CSYY 200,ENROLLED_IN
IZ92462,BQQQ 200,ENROLLED_IN
GO32860,BFFF 100-4,ENROLLED_IN
YW20891,BHHH 100,ENROLLED_IN
QK77308,CSYY 200-1,ENROLLED_IN
QK77308,BBBB 100-3,ENROLLED_IN
QK77308,CSOO 100,ENROLLED_IN
QK77308,BLLL 100,ENROLLED_IN
IH16741,CSKK 200-4,ENROLLED_IN
IH16741,CSXX 100,ENROLLED_IN
LP43423,CSEE 200,ENROLLED_IN
LI49525,BEEE 100,ENROLLED_IN
LI49525,BFFF 100-4,ENROLLED_IN
SU37219,CSNN 100,ENROLLED_IN
SU37219,BNNN 200-7,ENROLLED_IN
SU37219,CSCC 300,ENROLLED_IN
SU37219,CSXX 100,ENROLLED_IN
SU37219,CSKK 200,ENROLLED_IN
EG34830,BBBB 100,ENROLLED_IN
EG34830,BQQQ 300,ENROLLED_IN
EG34830,BWWW 200-2,ENROLLED_IN
EG34830,BKKK 300,ENROLLED_IN
KV18230,CSJJ 100-4,ENROLLED_IN
KV18230,CSOO 100,ENROLLED_IN
BM31946,BBBB 100,ENROLLED_IN
BM31946,BHHH 100,ENROLLED_IN
BM31946,BSSS 100,ENROLLED_IN
BM31946,CSMM 100,ENROLLED_IN
QC89812,CSAA 200,ENROLLED_IN
RN28954,BMMM 200,ENROLLED_IN
JP07985,BBBB 200-9,ENROLLED_IN
JP07985,CSZZ 100,ENROLLED_IN
JP07985,CSXX 100,ENROLLED_IN
JP07985,CSJJ 100,ENROLLED_IN
LU34231,BOOO 200,ENROLLED_IN
LU34231,CSMM 100,ENROLLED_IN
QA94276,BXXX 200,ENROLLED_IN
RV71358,CSZZ 100,ENROLLED_IN
RV71358,CSGG 300-8,ENROLLED_IN
PH95604,BLLL 100,ENROLLED_IN
LY59149,BEEE 100,ENROLLED_IN
AN24593,CSEE 200,ENROLLED_IN
AN24593,BFFF 100,ENROLLED_IN
AN24593,CSKK 200-4,ENROLLED_IN
ND06932,CSYY 200,ENROLLED_IN
ND06932,CSXX 100,ENROLLED_IN
ND06932,BXXX 200,ENROLLED_IN
TS83152,BOOO 200-2,ENROLLED_IN
TS83152,BEEE 200,ENROLLED_IN
YZ21491,BFFF 300-2,ENROLLED_IN
YZ21491,BNNN 200-7,ENROLLED_IN
YZ21491,BCCC 200,ENROLLED_IN
PL75447,BEEE 100,ENROLLED_IN
PL75447,CSDD 200,ENROLLED_IN
PL75447,BUUU 100,ENROLLED_IN
PL75447,BOOO 200-2,ENROLLED_IN
PL75447,CSJJ 100-4,ENROLLED_IN
SD25972,BXXX 200,ENROLLED_IN
SD25972,CSJJ 100,ENROLLED_IN
SD25972,BFFF 100-4,ENROLLED_IN
UV96616,BLLL 100,ENROLLED_IN
BG96650,CSJJ 100,ENROLLED_IN
BG96650,BBBB 200-9,ENROLLED_IN
BG96650,CSII 200,ENROLLED_IN
BG96650,BUUU 100,ENROLLED_IN
JI57714,BNNN 200,ENROLLED_IN
JI57714,CSKK 200,ENROLLED_IN
JI57714,BOOO 200-2,ENROLLED_IN
XB95601,CSZZ 100,ENROLLED_IN
XB95601,BXXX 200,ENROLLED_IN
PN35535,BBBB 100-3,ENROLLED_IN
PN35535,CSEE 200,ENROLLED_IN
WK49977,CSRR 300-6,ENROLLED_IN
WK49977,BWWW 200-2,ENROLLED_IN
WK49977,CSZZ 200,ENROLLED_IN
IK98346,CSKK 200-4,ENROLLED_IN
IK98346,CSPP 200,ENROLLED_IN
IK98346,BEEE 100,ENROLLED_IN
TO03487,BFFF 100,ENROLLED_IN
TO03487,CSNN 100,ENROLLED_IN
KK03739,CSYY 200-1,ENROLLED_IN
KK03739,CSJJ 100-4,ENROLLED_IN
IQ69155,BHHH 100,ENROLLED_IN
IQ69155,BUUU 300-4,ENROLLED_IN
JT60023,BSSS 100,ENROLLED_IN
VT29650,CSRR 300-6-7,ENROLLED_IN
JJ60326,BEEE 100,ENROLLED_IN
JJ60326,BHHH 100,ENROLLED_IN
DQ68356,CSJJ 100,ENROLLED_IN
YG05606,BLLL 100,ENROLLED_IN
YG05606,BUUU 300-4,ENROLLED_IN
JE88356,BMMM 200,ENROLLED_IN
QV59162,CSJJ 100,ENROLLED_IN
QV59162,BWWW 200,ENROLLED_IN
FH03729,CSEE 200,ENROLLED_IN
FH03729,BBBB 100,ENROLLED_IN
KH26288,CSXX 100,ENROLLED_IN
KH26288,BFFF 100-4,ENROLLED_IN
LS25016,BTTT 300,ENROLLED_IN
LS25016,BBBB 100,ENROLLED_IN
ZN98617,BFFF 100-4,ENROLLED_IN
ZN98617,BEEE 100,ENROLLED_IN
ZN98617,CSKK 200-4,ENROLLED_IN
ZN98617,BFFF 100,ENROLLED_IN
CV73907,CSOO 100,ENROLLED_IN
VI84485,CSZZ 200,ENROLLED_IN
BD36365,CSJJ 100,ENROLLED_IN
BD36365,CSMM 100,ENROLLED_IN
BD36365,CSZZ 100,ENROLLED_IN
WA20151,BQQQ 300,ENROLLED_IN
WA20151,CSII 200,ENROLLED_IN
WA20151,BHHH 100,ENROLLED_IN
WA20151,BCCC 200,ENROLLED_IN
NH77673,BPPP 400,ENROLLED_IN
NH77673,BNNN 200-7,ENROLLED_IN
NH77673,CSZZ 200,ENROLLED_IN
NH77673,CSZZ 100,ENROLLED_IN
NH77673,BUUU 300-4,ENROLLED_IN
JQ49301,CSJJ 100,ENROLLED_IN
AK96622,CSAA 300-2,ENROLLED_IN
AK96622,CSNN 100,ENROLLED_IN
AK96622,BLLL 100,ENROLLED_IN
OQ08093,CSKK 200,ENROLLED_IN
FU33854,BXXX 200,ENROLLED_IN
FU33854,CSII 200,ENROLLED_IN
FU33854,BUUU 100,ENROLLED_IN
FU33854,CSYY 200-1,ENROLLED_IN
FU33854,CSJJ 100-4,ENROLLED_IN
ZA81303,CSJJ 100,ENROLLED_IN
