:START_ID(Student),:END_ID(Student),:TYPE,similarity:float
QB79532,VP13892,SIMILAR_LEARNING_STYLE,0.75
QB79532,GI65613,SIMILAR_LEARNING_STYLE,0.55
QB79532,TC31207,SIMILAR_LEARNING_STYLE,0.77
QB79532,CR57694,SIMILAR_LEARNING_STYLE,0.8
QB79532,FY75087,SIMILAR_LEARNING_STYLE,0.73
QB79532,VQ79337,SIMILAR_LEARNING_STYLE,0.73
QB79532,HY58388,SIMILAR_LEARNING_STYLE,0.83
QB79532,ZP35243,SIMILAR_LEARNING_STYLE,0.89
QB79532,TG23068,SIMILAR_LEARNING_STYLE,0.55
QB79532,ZT52878,SIMILAR_LEARNING_STYLE,0.79
QB79532,XO13549,SIMILAR_LEARNING_STYLE,0.79
QB79532,SJ78536,SIMILAR_LEARNING_STYLE,0.73
QB79532,BD36365,SIMILAR_LEARNING_STYLE,0.76
QB79532,MX60432,SIMILAR_LEARNING_STYLE,0.64
QB79532,RH19879,SIMILAR_LEARNING_STYLE,0.75
QB79532,IT08536,SIMILAR_LEARNING_STYLE,0.61
QB79532,NZ64391,SIMILAR_LEARNING_STYLE,0.79
QB79532,LY65659,SIMILAR_LEARNING_STYLE,0.85
QB79532,HU48348,SIMILAR_LEARNING_STYLE,0.86
QB79532,KO34569,SIMILAR_LEARNING_STYLE,0.91
IW07367,DW48076,SIMILAR_LEARNING_STYLE,0.57
IW07367,PU57587,SIMILAR_LEARNING_STYLE,0.79
IW07367,XN27764,SIMILAR_LEARNING_STYLE,0.83
IW07367,GZ77459,SIMILAR_LEARNING_STYLE,0.95
IW07367,TY50210,SIMILAR_LEARNING_STYLE,0.75
IW07367,IW41450,SIMILAR_LEARNING_STYLE,0.81
IW07367,ZF98446,SIMILAR_LEARNING_STYLE,0.73
IW07367,DM07361,SIMILAR_LEARNING_STYLE,0.79
IW07367,AN24593,SIMILAR_LEARNING_STYLE,0.88
IW07367,OB61296,SIMILAR_LEARNING_STYLE,0.72
IW07367,YX06245,SIMILAR_LEARNING_STYLE,0.9
IW07367,DI09528,SIMILAR_LEARNING_STYLE,0.65
IW07367,DX26721,SIMILAR_LEARNING_STYLE,0.73
IW07367,PA21106,SIMILAR_LEARNING_STYLE,0.76
IW07367,SD25972,SIMILAR_LEARNING_STYLE,0.81
IW07367,TG98195,SIMILAR_LEARNING_STYLE,0.79
IW07367,AX59416,SIMILAR_LEARNING_STYLE,0.84
IW07367,TJ95461,SIMILAR_LEARNING_STYLE,0.62
IW07367,OK55448,SIMILAR_LEARNING_STYLE,0.89
IW07367,MT35085,SIMILAR_LEARNING_STYLE,0.69
QM06211,TI12363,SIMILAR_LEARNING_STYLE,0.78
QM06211,KN37201,SIMILAR_LEARNING_STYLE,0.79
QM06211,OQ44840,SIMILAR_LEARNING_STYLE,0.81
QM06211,ZT52878,SIMILAR_LEARNING_STYLE,0.84
QM06211,ZP35243,SIMILAR_LEARNING_STYLE,0.68
QM06211,JJ60326,SIMILAR_LEARNING_STYLE,0.65
QM06211,WA20151,SIMILAR_LEARNING_STYLE,0.73
QM06211,OL33726,SIMILAR_LEARNING_STYLE,0.65
QM06211,LW80116,SIMILAR_LEARNING_STYLE,0.7
QM06211,JZ76423,SIMILAR_LEARNING_STYLE,0.97
QM06211,JH06745,SIMILAR_LEARNING_STYLE,0.84
QM06211,XO13549,SIMILAR_LEARNING_STYLE,0.81
QM06211,TW42275,SIMILAR_LEARNING_STYLE,0.8
QM06211,IT08536,SIMILAR_LEARNING_STYLE,0.9
QM06211,NZ64391,SIMILAR_LEARNING_STYLE,0.6
QM06211,AK53068,SIMILAR_LEARNING_STYLE,0.59
QM06211,FS13544,SIMILAR_LEARNING_STYLE,0.59
QM06211,SS69921,SIMILAR_LEARNING_STYLE,0.69
QM06211,SR01489,SIMILAR_LEARNING_STYLE,0.63
EE11092,ZK44547,SIMILAR_LEARNING_STYLE,0.87
EE11092,MW40082,SIMILAR_LEARNING_STYLE,0.85
EE11092,QC89812,SIMILAR_LEARNING_STYLE,0.78
EE11092,GW02967,SIMILAR_LEARNING_STYLE,0.84
EE11092,MK60048,SIMILAR_LEARNING_STYLE,0.7
EE11092,ZB17066,SIMILAR_LEARNING_STYLE,0.92
EE11092,ZY75863,SIMILAR_LEARNING_STYLE,0.62
EE11092,TA41630,SIMILAR_LEARNING_STYLE,0.86
EE11092,FM62039,SIMILAR_LEARNING_STYLE,0.9
EE11092,JB14114,SIMILAR_LEARNING_STYLE,0.85
EE11092,WZ32012,SIMILAR_LEARNING_STYLE,0.81
EE11092,WU06122,SIMILAR_LEARNING_STYLE,0.73
EE11092,UV96616,SIMILAR_LEARNING_STYLE,0.68
EE11092,FL71387,SIMILAR_LEARNING_STYLE,0.78
EE11092,FU63836,SIMILAR_LEARNING_STYLE,0.81
EE11092,JE79387,SIMILAR_LEARNING_STYLE,0.56
EE11092,UJ39627,SIMILAR_LEARNING_STYLE,0.82
EE11092,LO20555,SIMILAR_LEARNING_STYLE,0.78
EE11092,MN68352,SIMILAR_LEARNING_STYLE,0.66
EE11092,FE27724,SIMILAR_LEARNING_STYLE,0.82
KG30374,XE46096,SIMILAR_LEARNING_STYLE,0.59
KG30374,LM62974,SIMILAR_LEARNING_STYLE,0.72
KG30374,XJ93801,SIMILAR_LEARNING_STYLE,0.66
KG30374,MM32449,SIMILAR_LEARNING_STYLE,0.77
KG30374,WW37078,SIMILAR_LEARNING_STYLE,0.8
KG30374,UE41342,SIMILAR_LEARNING_STYLE,0.81
KG30374,IS84479,SIMILAR_LEARNING_STYLE,0.89
KG30374,OE02472,SIMILAR_LEARNING_STYLE,0.66
KG30374,QN19688,SIMILAR_LEARNING_STYLE,0.73
KG30374,JU19896,SIMILAR_LEARNING_STYLE,0.87
KG30374,FG35902,SIMILAR_LEARNING_STYLE,0.72
KG30374,VL36938,SIMILAR_LEARNING_STYLE,0.78
KG30374,DJ81753,SIMILAR_LEARNING_STYLE,0.83
KG30374,GU63456,SIMILAR_LEARNING_STYLE,0.58
KG30374,IL57368,SIMILAR_LEARNING_STYLE,0.9
KG30374,XT21265,SIMILAR_LEARNING_STYLE,0.68
KG30374,EE13756,SIMILAR_LEARNING_STYLE,0.75
KG30374,XB33746,SIMILAR_LEARNING_STYLE,0.77
KG30374,MO16135,SIMILAR_LEARNING_STYLE,0.79
KG30374,QL80482,SIMILAR_LEARNING_STYLE,0.7
FS65039,KH26288,SIMILAR_LEARNING_STYLE,0.81
