:START_ID(Student),:END_ID(Student),:TYPE,similarity:float,courses
FS65039,IZ92462,SIMILAR_PERFORMANCE,0.86,BEEE 200;BBBB 100-3;CSNN 100;CSKK 200-4
FS65039,GO32860,SIMILAR_PERFORMANCE,0.78,BUUU 100;CSKK 200-4;CSDD 200
FS65039,LP43423,SIMILAR_PERFORMANCE,0.84,BEEE 200;BBBB 100-3;CSNN 100
FS65039,LI49525,SIMILAR_PERFORMANCE,0.87,CSMM 100;BEEE 200;BMMM 200;BBBB 100-3;BFFF 100-4-1
FS65039,SU37219,SIMILAR_PERFORMANCE,0.88,BEEE 100;BEEE 200;CSOO 100;CSKK 200-4;CSDD 200;BUUU 100
FS65039,EG34830,SIMILAR_PERFORMANCE,0.86,BEEE 300;CSNN 100;CSMM 100;BEEE 100;BEEE 200;BFFF 100-4;CSVV 100;BNNN 200-7;CSKK 200;CSKK 200-4;BMMM 200;CSDD 200;BUUU 100;BBBB 100-3;CSYY 200;BFFF 100-4-1
FS65039,QC89812,SIMILAR_PERFORMANCE,0.81,CSMM 100;BEEE 100;BEEE 200;BFFF 100-4;CSOO 100;CSVV 100;BNNN 200-7;CSKK 200;CSKK 200-4;BMMM 200;CSDD 200;BUUU 100;BBBB 100-3;CSYY 200;BFFF 100-4-1
FS65039,RN28954,SIMILAR_PERFORMANCE,0.83,CSVV 100;BFFF 100-4;CSYY 200;CSKK 200-4
FS65039,JP07985,SIMILAR_PERFORMANCE,0.89,BFFF 100-4;BEEE 200;CSYY 200;CSKK 200-4;BMMM 200;BBBB 100-3;CSNN 100;BFFF 100-4-1
FS65039,LU34231,SIMILAR_PERFORMANCE,0.82,CSOO 100;CSVV 100;CSKK 200;CSKK 200-4;BMMM 200;CSDD 200;BBBB 100-3;CSNN 100
FS65039,QA94276,SIMILAR_PERFORMANCE,0.8,BUUU 100;BBBB 100-3;CSNN 100;BFFF 100-4-1
FS65039,RV71358,SIMILAR_PERFORMANCE,0.88,BEEE 100;BEEE 200;CSOO 100;CSVV 100;BMMM 200;CSDD 200;BUUU 100;CSKK 200;BFFF 100-4-1
FS65039,ND06932,SIMILAR_PERFORMANCE,0.89,CSMM 100;BEEE 200;CSKK 200-4;BMMM 200;CSDD 200;BFFF 100-4-1
FS65039,YZ21491,SIMILAR_PERFORMANCE,0.86,CSNN 100;CSMM 100;BEEE 100;BEEE 200;BFFF 100-4;CSKK 200-4;BMMM 200;CSDD 200;BUUU 100;BBBB 100-3;CSYY 200;BFFF 100-4-1
FS65039,BG96650,SIMILAR_PERFORMANCE,0.84,CSVV 100;CSDD 200;BMMM 200;CSYY 200;BFFF 100-4-1
FS65039,JI57714,SIMILAR_PERFORMANCE,0.79,BEEE 100;BFFF 100-4;BEEE 200;CSOO 100;CSKK 200-4;BUUU 100;CSNN 100;BFFF 100-4-1
FS65039,PN35535,SIMILAR_PERFORMANCE,0.82,BEEE 100;CSMM 100;CSOO 100;CSYY 200;CSKK 200;CSNN 100;BFFF 100-4-1
