:START_ID(Course),:END_ID(Course),:TYPE,strength,minGrade
CSJJ 100,CSPP 200,PREREQUISITE_FOR,Required,C
CSPP 200,CSXX 200,PREREQUISITE_FOR,Required,C
CSOO 100,CSUU 200,PREREQUISITE_FOR,Required,C
CSAA 300-2,CSSS 100,PREREQUISITE_FOR,Required,C
CSII 200,CSRR 300,PREREQUISITE_FOR,Required,C
BFFF 400,BIII 200,PREREQUISITE_FOR,Required,C
BIII 200,BUUU 300,PREREQUISITE_FOR,Required,C
BZZZ 400,BMMM 100,PREREQUISITE_FOR,Required,C
BMMM 100,BZZZ 400,PREREQUISITE_FOR,Required,C
BQQQ 200,BCCC 200,PREREQUISITE_FOR,Required,C
BRRR 300-8,BUUU 200,PREREQUISITE_FOR,Required,C
CSBB 200,CSSS 300,PREREQUISITE_FOR,Required,D-
CSBB 200,CSNN 300,PREREQUISITE_FOR,Recommended,
CSUU 200,CSNN 300,PREREQUISITE_FOR,Required,D
CSSS 300,CSXX 400,PREREQUISITE_FOR,Required,C
CSNN 100,CSXX 400,PREREQUISITE_FOR,Required,C
CSRR 300-6,CSXX 400,PREREQUISITE_FOR,Required,C
CSSS 100,CSHH 200,PREREQUISITE_FOR,Recommended,
CSXX 200,CSGG 300,PREREQUISITE_FOR,Required,C-
CSII 200,CSGG 300,PREREQUISITE_FOR,Required,C-
CSRR 300-6-7,CSFF 400,PREREQUISITE_FOR,Required,D-
CSOO 100,CSFF 400,PREREQUISITE_FOR,Required,D-
CSAA 200,CSFF 400,PREREQUISITE_FOR,Required,D
CSXX 200,CSGG 300-2,PREREQUISITE_FOR,Required,D-
CSOO 100,CSZZ 200,PREREQUISITE_FOR,Required,C
CSEE 200,CSRR 300,PREREQUISITE_FOR,Required,C
CSHH 200,CSRR 300,PREREQUISITE_FOR,Required,D-
CSSS 100,CSBB 200,PREREQUISITE_FOR,Required,D-
CSEE 200,CSRR 300-6,PREREQUISITE_FOR,Required,C
CSYY 200-1,CSRR 300-6,PREREQUISITE_FOR,Required,C-
CSKK 200,CSAA 300,PREREQUISITE_FOR,Required,D
CSPP 200,CSAA 300,PREREQUISITE_FOR,Recommended,
CSKK 200,CSAA 300-2,PREREQUISITE_FOR,Required,C-
CSOO 100,CSAA 300-2,PREREQUISITE_FOR,Recommended,
CSNN 100,CSRR 300-6-7,PREREQUISITE_FOR,Required,C-
CSZZ 100,CSRR 300-2,PREREQUISITE_FOR,Recommended,
CSII 200,CSRR 300-2,PREREQUISITE_FOR,Required,D-
CSVV 100,CSPP 200,PREREQUISITE_FOR,Required,C-
CSEE 200,CSAA 300-4,PREREQUISITE_FOR,Recommended,
CSHH 200,CSKK 400,PREREQUISITE_FOR,Required,C
CSCC 300,CSQQ 400,PREREQUISITE_FOR,Required,C
CSMM 300,CSQQ 400,PREREQUISITE_FOR,Recommended,
CSOO 100,CSCC 300,PREREQUISITE_FOR,Required,C
CSDD 200,CSVV 300,PREREQUISITE_FOR,Recommended,
CSXX 200,CSVV 300,PREREQUISITE_FOR,Recommended,
CSYY 200-1,CSKK 300,PREREQUISITE_FOR,Required,C-
CSDD 200,CSKK 300,PREREQUISITE_FOR,Required,D
CSOO 100,CSOO 300,PREREQUISITE_FOR,Recommended,
CSKK 300,CSUU 400,PREREQUISITE_FOR,Required,C-
CSRR 300-2,CSUU 400,PREREQUISITE_FOR,Required,D-
CSJJ 100,CSGG 400,PREREQUISITE_FOR,Required,C
CSVV 300,CSGG 400,PREREQUISITE_FOR,Required,D-
CSXX 100,CSGG 400,PREREQUISITE_FOR,Required,C-
