:START_ID(Student),:END_ID(Degree),:TYPE
QB79532,BA-ComputerScience-2,PURSUING
IW07367,BS-ComputerScience-1,PURSUING
QM06211,BS-Biology-1,PURSUING
EE11092,BS-Biology-1,PURSUING
KG30374,BS-ComputerScience-1,PURSUING
FS65039,BS-ComputerScience-1,PURSUING
IZ92462,BA-Biology-2,PURSUING
GO32860,BA-ComputerScience-2,PURSUING
YW20891,BS-ComputerScience-1,PURSUING
QK77308,BA-ComputerScience-2,PURSUING
IH16741,BA-Biology-2,PURSUING
LP43423,BA-Biology-2,PURSUING
LI49525,BA-Biology-2,PURSUING
SU37219,BS-Biology-1,PURSUING
EG34830,BS-ComputerScience-1,PURSUING
EG34830,BS-Biology-1,PURSUING
KV18230,BS-Biology-1,PURSUING
BM31946,BS-ComputerScience-1,PURSUING
QC89812,BA-Biology-2,PURSUING
RN28954,BS-ComputerScience-1,PURSUING
JP07985,BS-Biology-1,PURSUING
LU34231,BA-ComputerScience-2,PURSUING
QA94276,BA-ComputerScience-2,PURSUING
QA94276,BS-Biology-1,PURSUING
RV71358,BS-Biology-1,PURSUING
PH95604,BA-Biology-2,PURSUING
LY59149,BA-Biology-2,PURSUING
AN24593,BA-ComputerScience-2,PURSUING
AN24593,BS-ComputerScience-1,PURSUING
ND06932,BA-Biology-2,PURSUING
TS83152,BS-Biology-1,PURSUING
YZ21491,BS-Biology-1,PURSUING
PL75447,BS-Biology-1,PURSUING
SD25972,BS-ComputerScience-1,PURSUING
UV96616,BA-Biology-2,PURSUING
BG96650,BS-Biology-1,PURSUING
JI57714,BA-ComputerScience-2,PURSUING
XB95601,BS-Biology-1,PURSUING
XB95601,BA-Biology-2,PURSUING
PN35535,BA-ComputerScience-2,PURSUING
WK49977,BS-ComputerScience-1,PURSUING
IK98346,BS-Biology-1,PURSUING
IK98346,BS-ComputerScience-1,PURSUING
TO03487,BS-ComputerScience-1,PURSUING
KK03739,BA-Biology-2,PURSUING
IQ69155,BA-ComputerScience-2,PURSUING
JT60023,BA-Biology-2,PURSUING
VT29650,BS-ComputerScience-1,PURSUING
JJ60326,BA-ComputerScience-2,PURSUING
DQ68356,BS-Biology-1,PURSUING
YG05606,BA-ComputerScience-2,PURSUING
JD80317,BS-Biology-1,PURSUING
JE88356,BS-Biology-1,PURSUING
QV59162,BA-Biology-2,PURSUING
FH03729,BS-ComputerScience-1,PURSUING
KH26288,BS-Biology-1,PURSUING
LS25016,BS-ComputerScience-1,PURSUING
ZN98617,BS-Biology-1,PURSUING
CV73907,BS-ComputerScience-1,PURSUING
VI84485,BS-ComputerScience-1,PURSUING
BD36365,BA-ComputerScience-2,PURSUING
WA20151,BA-ComputerScience-2,PURSUING
NH77673,BS-ComputerScience-1,PURSUING
JQ49301,BS-Biology-1,PURSUING
AK96622,BA-ComputerScience-2,PURSUING
OQ08093,BS-Biology-1,PURSUING
FU33854,BA-Biology-2,PURSUING
ZA81303,BA-ComputerScience-2,PURSUING
JZ76423,BS-Biology-1,PURSUING
LM62974,BS-Biology-1,PURSUING
KZ59336,BS-ComputerScience-1,PURSUING
HN44844,BA-Biology-2,PURSUING
XM54484,BA-Biology-2,PURSUING
JU19896,BA-ComputerScience-2,PURSUING
GU21926,BA-Biology-2,PURSUING
RH19879,BS-Biology-1,PURSUING
ZH45186,BA-ComputerScience-2,PURSUING
SE52755,BS-Biology-1,PURSUING
SE52755,BA-Biology-2,PURSUING
UB91751,BS-ComputerScience-1,PURSUING
IY00778,BA-Biology-2,PURSUING
TT50674,BA-Biology-2,PURSUING
AT04654,BS-Biology-1,PURSUING
AX59416,BS-ComputerScience-1,PURSUING
ZX23568,BS-ComputerScience-1,PURSUING
YX06245,BA-Biology-2,PURSUING
VD69513,BS-ComputerScience-1,PURSUING
RQ97671,BA-Biology-2,PURSUING
DG39697,BA-ComputerScience-2,PURSUING
HN60547,BS-ComputerScience-1,PURSUING
HN60547,BS-Biology-1,PURSUING
EH57320,BA-ComputerScience-2,PURSUING
TY50210,BA-ComputerScience-2,PURSUING
YA05268,BA-Biology-2,PURSUING
NH76145,BA-ComputerScience-2,PURSUING
NH76145,BS-ComputerScience-1,PURSUING
ZB31672,BS-ComputerScience-1,PURSUING
ZB31672,BA-ComputerScience-2,PURSUING
CW80287,BS-Biology-1,PURSUING
NL97742,BS-ComputerScience-1,PURSUING
IA87973,BS-ComputerScience-1,PURSUING
CA37264,BS-ComputerScience-1,PURSUING
NA49258,BS-ComputerScience-1,PURSUING
VG44673,BS-Biology-1,PURSUING
FO42213,BS-ComputerScience-1,PURSUING
CB21150,BS-Biology-1,PURSUING
DG79155,BA-Biology-2,PURSUING
DM07361,BA-ComputerScience-2,PURSUING
CK72745,BS-Biology-1,PURSUING
RZ35866,BS-Biology-1,PURSUING
RZ35866,BS-ComputerScience-1,PURSUING
