:START_ID(Course),:END_ID(Course),:TYPE,commonality:float,successCorrelation:float
CSII 200,CSYY 400,LEADS_TO,0.93,0.83
CSII 200,CSOO 300,LEADS_TO,0.49,0.68
CSII 200,CSMM 300,LEADS_TO,0.22,0.64
CSII 200,CSHH 300,LEADS_TO,0.34,0.47
CSII 200,CSFF 300,LEADS_TO,0.39,0.52
CSII 200,CSSS 300,LEADS_TO,0.51,0.67
CSUU 100,CSYY 300,LEADS_TO,0.99,0.64
CSUU 100,CSDD 200,LEADS_TO,0.31,0.57
CSUU 100,CSPP 200,LEADS_TO,0.59,0.58
CSUU 100,CSJJ 200,LEADS_TO,0.42,0.49
CSUU 100,CSFF 200,LEADS_TO,0.25,0.53
CSUU 100,CSCC 200,LEADS_TO,0.24,0.63
CSDD 200,CSSS 300,LEADS_TO,0.71,0.66
CSDD 200,CSKK 300,LEADS_TO,0.35,0.65
CSDD 200,CSOO 300,LEADS_TO,0.31,0.4
CSDD 200,CSHH 300,LEADS_TO,0.52,0.57
CSDD 200,CSRR 300,LEADS_TO,0.55,0.62
CSDD 200,CSFF 300,LEADS_TO,0.28,0.6
CSDD 200,CSAA 300,LEADS_TO,0.54,0.52
CSCC 300,CSLL 400,LEADS_TO,0.41,0.57
CSCC 300,CSII 400,LEADS_TO,0.38,0.6
CSLL 300,CSRR 400,LEADS_TO,0.21,0.44
CSYY 200,CSYY 400,LEADS_TO,0.99,0.81
CSYY 200,CSRR 400,LEADS_TO,0.99,0.7
CSYY 200,CSCC 300,LEADS_TO,0.21,0.51
CSYY 200,CSMM 300,LEADS_TO,0.22,0.42
CSYY 200,CSYY 300,LEADS_TO,0.35,0.58
CSYY 200,CSNN 300,LEADS_TO,0.27,0.66
CSYY 200,CSFF 300,LEADS_TO,0.3,0.46
CSYY 200,CSSS 300,LEADS_TO,0.54,0.69
CSMM 100,CSPP 200,LEADS_TO,0.46,0.59
CSMM 100,CSPP 200-1,LEADS_TO,0.42,0.41
CSDD 100,CSII 400,LEADS_TO,0.78,0.85
CSDD 100,CSDD 200,LEADS_TO,0.29,0.57
CSDD 100,CSYY 200,LEADS_TO,0.53,0.58
CSDD 100,CSPP 200,LEADS_TO,0.46,0.64
CSDD 100,CSQQ 200,LEADS_TO,0.51,0.46
CSDD 100,CSJJ 200,LEADS_TO,0.59,0.69
