:START_ID(Student),:END_ID(Student),:TYPE,similarity:float
AE50614,ZU27194,SIMILAR_LEARNING_STYLE,0.66
AE50614,HF91206,SIMILAR_LEARNING_STYLE,0.7
AE50614,OR28097,SIMILAR_LEARNING_STYLE,0.85
AE50614,OL00858,SIMILAR_LEARNING_STYLE,0.75
AE50614,GD89802,SIMILAR_LEARNING_STYLE,0.8
AE50614,CU90031,SIMILAR_LEARNING_STYLE,0.74
AE50614,ED98709,SIMILAR_LEARNING_STYLE,0.67
AE50614,IW87109,SIMILAR_LEARNING_STYLE,0.71
AE50614,NY39540,SIMILAR_LEARNING_STYLE,0.81
AE50614,CF88436,SIMILAR_LEARNING_STYLE,0.67
AE50614,RE79685,SIMILAR_LEARNING_STYLE,0.97
AE50614,VW35864,SIMILAR_LEARNING_STYLE,0.69
AE50614,ET80313,SIMILAR_LEARNING_STYLE,0.75
AE50614,EM51803,SIMILAR_LEARNING_STYLE,0.65
AE50614,YN52320,SIMILAR_LEARNING_STYLE,0.57
AE50614,VY68836,SIMILAR_LEARNING_STYLE,0.55
AE50614,EM11165,SIMILAR_LEARNING_STYLE,0.86
AE50614,LI13857,SIMILAR_LEARNING_STYLE,0.75
AE50614,GL32042,SIMILAR_LEARNING_STYLE,0.58
AE50614,TT50706,SIMILAR_LEARNING_STYLE,0.72
QE42723,DJ98899,SIMILAR_LEARNING_STYLE,0.92
QE42723,YD68656,SIMILAR_LEARNING_STYLE,0.81
QE42723,RG81143,SIMILAR_LEARNING_STYLE,0.8
QE42723,VW35864,SIMILAR_LEARNING_STYLE,0.66
QE42723,EO86277,SIMILAR_LEARNING_STYLE,0.82
QE42723,IL65851,SIMILAR_LEARNING_STYLE,0.76
QE42723,CV68220,SIMILAR_LEARNING_STYLE,0.76
QE42723,HF91206,SIMILAR_LEARNING_STYLE,0.76
QE42723,WC54484,SIMILAR_LEARNING_STYLE,0.9
QE42723,CU90031,SIMILAR_LEARNING_STYLE,0.75
QE42723,JL77391,SIMILAR_LEARNING_STYLE,0.7
QE42723,QE59126,SIMILAR_LEARNING_STYLE,0.77
QE42723,DR44526,SIMILAR_LEARNING_STYLE,0.78
QE42723,DA81407,SIMILAR_LEARNING_STYLE,0.74
QE42723,YA56402,SIMILAR_LEARNING_STYLE,0.64
QE42723,JV70677,SIMILAR_LEARNING_STYLE,0.87
QE42723,NP28959,SIMILAR_LEARNING_STYLE,0.72
QE42723,SL11527,SIMILAR_LEARNING_STYLE,0.58
