:START_ID(Student),:END_ID(Student),:TYPE,similarity:float,courses
PE14938,IM31063,SIMILAR_PERFORMANCE,0.82,CSEE 200;BJJJ 100;CSDD 200
PE14938,FH22315,SIMILAR_PERFORMANCE,0.91,CSMM 100-1;CSEE 200;BJJJ 100;CSDD 200
PE14938,RG81143,SIMILAR_PERFORMANCE,0.84,CSEE 200;BUUU 100;BJJJ 100;CSDD 200
PE14938,OR04317,SIMILAR_PERFORMANCE,0.88,CSMM 100-1;CSEE 200;BJJJ 100;CSDD 200
PE14938,QE59126,SIMILAR_PERFORMANCE,0.88,CSEE 200;BJJJ 100;CSDD 200
PE14938,SL83449,SIMILAR_PERFORMANCE,0.88,CSEE 200;BUUU 100;BJJJ 100;CSDD 200
PE14938,MO56628,SIMILAR_PERFORMANCE,0.82,CSMM 100-1;BUUU 100;CSDD 200
PE14938,QM98949,SIMILAR_PERFORMANCE,0.84,BVVV 200;CSEE 200;BJJJ 100;CSDD 200
PE14938,VD91948,SIMILAR_PERFORMANCE,0.67,BUUU 100;BJJJ 100;CSDD 200
PE14938,CO71438,SIMILAR_PERFORMANCE,0.88,CSEE 200;BUUU 100;BJJJ 100;CSDD 200
PE14938,EB55549,SIMILAR_PERFORMANCE,0.73,CSMM 100-1;BUUU 100;CSDD 200
PE14938,AI35006,SIMILAR_PERFORMANCE,0.91,BUUU 100;BVVV 200;BJJJ 100;CSMM 100-1;CSEE 200;CSDD 200
PE14938,JG88622,SIMILAR_PERFORMANCE,0.95,CSMM 100-1;CSEE 200;BJJJ 100;CSDD 200
PE14938,OM35998,SIMILAR_PERFORMANCE,0.94,CSMM 100-1;CSEE 200;BJJJ 100;CSDD 200
PE14938,WR15472,SIMILAR_PERFORMANCE,0.91,BVVV 200;BUUU 100;BJJJ 100;CSDD 200
PE14938,BN03816,SIMILAR_PERFORMANCE,0.82,BVVV 200;BJJJ 100;CSMM 100-1;CSEE 200;CSDD 200
PE14938,QV19697,SIMILAR_PERFORMANCE,0.82,BVVV 200;CSEE 200;BJJJ 100;CSDD 200
PE14938,CB74600,SIMILAR_PERFORMANCE,0.84,CSMM 100-1;CSEE 200;BJJJ 100;CSDD 200
PE14938,CC96632,SIMILAR_PERFORMANCE,0.81,BUUU 100;BVVV 200;BJJJ 100;CSEE 200;CSDD 200
PE14938,WE24392,SIMILAR_PERFORMANCE,0.88,CSEE 200;BUUU 100;CSDD 200
PE14938,YD68656,SIMILAR_PERFORMANCE,0.92,CSEE 200;BJJJ 100;CSDD 200
PE14938,ZR64164,SIMILAR_PERFORMANCE,0.86,CSMM 100-1;CSEE 200;BJJJ 100
PE14938,NE95814,SIMILAR_PERFORMANCE,0.87,CSEE 200;BUUU 100;BJJJ 100;CSDD 200
PE14938,HD71576,SIMILAR_PERFORMANCE,0.83,BUUU 100;BJJJ 100;CSMM 100-1;CSEE 200;CSDD 200
PE14938,JP85001,SIMILAR_PERFORMANCE,0.73,BVVV 200;CSEE 200;BUUU 100;CSDD 200
PE14938,MP42020,SIMILAR_PERFORMANCE,0.79,BUUU 100;BJJJ 100;CSMM 100-1;CSEE 200;CSDD 200
PE14938,YS45948,SIMILAR_PERFORMANCE,0.78,CSEE 200;BJJJ 100;CSDD 200
PE14938,PD76679,SIMILAR_PERFORMANCE,0.8,BVVV 200;CSEE 200;CSDD 200
PE14938,PL59891,SIMILAR_PERFORMANCE,0.84,BVVV 200;CSEE 200;BJJJ 100;CSDD 200
PE14938,IW87109,SIMILAR_PERFORMANCE,0.9,BUUU 100;BJJJ 100;CSMM 100-1;CSEE 200;CSDD 200
PE14938,HR56240,SIMILAR_PERFORMANCE,0.9,BVVV 200;CSEE 200;BJJJ 100
PE14938,WV15382,SIMILAR_PERFORMANCE,0.94,BUUU 100;BVVV 200;BJJJ 100;CSEE 200;CSDD 200
PE14938,VM21221,SIMILAR_PERFORMANCE,0.92,BUUU 100;BJJJ 100;CSDD 200
PE14938,EN95314,SIMILAR_PERFORMANCE,0.8,CSMM 100-1;BUUU 100;BJJJ 100
