:START_ID(Faculty),:END_ID(Course),:TYPE,terms
F01014,CSII 200,TEACHES,Spring
F01019,CSII 200,TEACHES,Fall;Summer
F01007,CSUU 100,TEACHES,Fall;Spring
F01007,CSDD 200,TEACHES,Fall;Spring
F01012,CSCC 300,TEACHES,Fall;Spring;Summer
F01007,CSCC 300,TEACHES,Fall;Spring;Summer
F01025,CSLL 300,TEACHES,Fall;Spring
F01030,CSYY 200,TEACHES,Fall;Summer
F01021,CSYY 200,TEACHES,Spring;Summer
F01025,CSMM 100,TEACHES,Fall;Spring
F01008,CSMM 100,TEACHES,Spring
F01002,CSDD 100,TEACHES,Fall;Spring
F01019,CSDD 100,TEACHES,Fall
F01021,CSLL 100,TEACHES,Fall;Spring;Summer
F01019,CSPP 100,TEACHES,Fall;Spring
F01021,CSKK 300,TEACHES,Fall;Summer
F01030,CSKK 300,TEACHES,Fall;Spring;Summer
F01025,CSPP 200,TEACHES,Fall;Spring
F01030,CSPP 200,TEACHES,Fall
F01028,CSII 200-7,TEACHES,Fall;Spring
F01021,CSII 200-7,TEACHES,Fall;Spring
F01008,CSQQ 200,TEACHES,Fall;Spring
F01025,CSJJ 100,TEACHES,Spring
F01002,CSEE 200,TEACHES,Fall;Spring;Summer
F01024,CSEE 200,TEACHES,Fall;Spring;Summer
F01025,CSOO 300,TEACHES,Fall;Spring
F01010,CSMM 300,TEACHES,Fall
F01019,CSLL 400,TEACHES,Fall;Spring
F01021,CSNN 100,TEACHES,Fall;Spring;Summer
F01024,CSNN 100,TEACHES,Fall;Spring
F01019,CSJJ 200,TEACHES,Fall
F01028,CSJJ 200,TEACHES,Fall
F01014,CSMM 100-8,TEACHES,Fall;Spring
F01030,CSHH 300,TEACHES,Fall
F01025,CSYY 300,TEACHES,Fall;Spring;Summer
F01014,CSUU 100-3,TEACHES,Fall;Summer
F01002,CSUU 100-3,TEACHES,Fall;Spring;Summer
F01021,CSUU 100-3,TEACHES,Summer
F01015,CSOO 200,TEACHES,Fall;Spring
F01030,CSNN 300,TEACHES,Fall;Spring
F01028,CSNN 300,TEACHES,Fall;Spring
F01010,CSFF 200,TEACHES,Spring
F01012,CSFF 200,TEACHES,Fall;Spring
F01014,CSFF 200,TEACHES,Spring
F01028,CSLL 100-1,TEACHES,Fall
F01014,CSAA 100,TEACHES,Fall
F01028,CSPP 300,TEACHES,Fall;Spring;Summer
F01007,CSPP 300,TEACHES,Fall;Spring;Summer
F01021,CSPP 300,TEACHES,Spring
F01014,CSRR 100,TEACHES,Spring
F01025,CSRR 100,TEACHES,Fall
F01012,CSTT 300-2,TEACHES,Fall;Spring
F01012,CSRR 300,TEACHES,Fall;Spring
F01025,CSYY 400,TEACHES,Spring
F01024,CSYY 400,TEACHES,Spring
F01019,CSYY 400,TEACHES,Spring
F01002,CSYY 200-9,TEACHES,Fall;Spring
F01022,CSYY 200-9,TEACHES,Fall;Spring
F01008,CSPP 200-1,TEACHES,Fall;Spring
F01028,CSPP 200-1,TEACHES,Spring
F01022,CSII 400,TEACHES,Fall
F01019,CSFF 300,TEACHES,Fall;Spring
F01008,CSII 100,TEACHES,Fall;Spring
F01007,CSII 100,TEACHES,Fall;Spring
F01028,CSII 100,TEACHES,Fall;Spring
F01002,CSCC 200,TEACHES,Fall;Spring
F01019,CSYY 400-7,TEACHES,Spring
F01012,CSYY 400-7,TEACHES,Fall;Spring
F01025,CSYY 400-7,TEACHES,Spring
F01010,CSKK 100,TEACHES,Fall
F01007,CSKK 100,TEACHES,Fall;Spring
F01014,CSRR 400,TEACHES,Fall;Spring
F01021,CSRR 400,TEACHES,Fall;Spring
F01019,CSRR 400,TEACHES,Spring
F01024,CSAA 300,TEACHES,Fall
F01008,CSSS 300,TEACHES,Fall;Spring
F01024,CSSS 300,TEACHES,Fall;Spring
F01015,CSSS 300,TEACHES,Fall;Spring
F01030,CSHH 100,TEACHES,Fall;Spring
F01014,CSHH 100,TEACHES,Fall;Spring
F01014,CSWW 400,TEACHES,Fall;Spring
F01010,CSWW 400,TEACHES,Fall;Spring
F01011,BYYY 400,TEACHES,Fall;Spring
F01004,BOOO 200,TEACHES,Fall;Spring;Summer
F01001,BOOO 200,TEACHES,Summer
F01003,BOOO 200,TEACHES,Fall;Summer
F01005,BUUU 100,TEACHES,Fall;Spring
F01029,BIII 300,TEACHES,Fall
F01020,BIII 300,TEACHES,Fall;Spring
F01018,BIII 300,TEACHES,Spring
F01017,BYYY 400-5,TEACHES,Spring
F01013,BVVV 200,TEACHES,Fall;Spring
F01001,BVVV 200,TEACHES,Spring
F01009,BQQQ 200,TEACHES,Fall
F01011,BQQQ 400,TEACHES,Spring
F01003,BQQQ 400,TEACHES,Spring
F01016,BZZZ 300,TEACHES,Fall
F01011,BZZZ 300,TEACHES,Fall;Spring
F01016,BVVV 300,TEACHES,Spring
F01009,BVVV 300,TEACHES,Fall;Spring
F01003,BWWW 200,TEACHES,Spring
F01005,BWWW 200,TEACHES,Fall;Spring
F01009,BZZZ 300-9,TEACHES,Fall;Spring
F01005,BQQQ 400-7,TEACHES,Fall;Summer
F01001,BNNN 300,TEACHES,Fall;Spring
F01005,BNNN 300,TEACHES,Fall;Spring
F01026,BNNN 300,TEACHES,Spring
F01013,BVVV 200-5,TEACHES,Spring
F01009,BVVV 200-5,TEACHES,Fall;Spring
F01023,BIII 100,TEACHES,Fall;Spring;Summer
F01018,BIII 100,TEACHES,Fall;Spring;Summer
F01029,BKKK 100,TEACHES,Spring
F01027,BAAA 200,TEACHES,Fall;Spring
F01013,BAAA 200,TEACHES,Spring
F01006,BAAA 200,TEACHES,Spring
F01016,BJJJ 400,TEACHES,Fall;Spring
F01004,BJJJ 400,TEACHES,Fall;Spring
F01020,BJJJ 400,TEACHES,Fall;Spring
F01018,BRRR 400,TEACHES,Fall;Spring
F01017,BKKK 200,TEACHES,Fall;Spring
F01005,BKKK 200,TEACHES,Fall;Spring
F01020,BKKK 200,TEACHES,Spring
F01001,BDDD 300,TEACHES,Fall
F01005,BDDD 300,TEACHES,Fall;Spring
F01023,BAAA 200-8,TEACHES,Spring
F01016,BMMM 200,TEACHES,Fall;Spring
F01003,BGGG 400,TEACHES,Spring;Summer
F01001,BGGG 400,TEACHES,Fall
F01004,BGGG 400,TEACHES,Spring;Summer
F01005,BXXX 400,TEACHES,Fall;Spring
F01016,BXXX 400,TEACHES,Fall
F01001,BXXX 400,TEACHES,Fall;Spring
F01023,BAAA 100,TEACHES,Fall
F01013,BCCC 200,TEACHES,Fall;Spring
F01026,BCCC 200,TEACHES,Fall;Spring
F01005,BCCC 200,TEACHES,Fall;Spring
F01018,BTTT 200,TEACHES,Fall
F01001,BXXX 100,TEACHES,Spring
F01013,BXXX 100,TEACHES,Spring
F01026,BRRR 300,TEACHES,Fall;Spring
F01020,BXXX 300,TEACHES,Fall
F01001,BXXX 300,TEACHES,Fall;Spring
F01029,BXXX 300,TEACHES,Fall;Spring
F01006,BBBB 200,TEACHES,Fall
F01017,BBBB 200,TEACHES,Fall;Spring
F01016,BLLL 300,TEACHES,Fall;Spring
F01013,BLLL 300,TEACHES,Fall;Spring
F01011,BZZZ 200,TEACHES,Fall
F01001,BZZZ 200,TEACHES,Fall;Spring
F01006,BPPP 300,TEACHES,Fall;Spring;Summer
F01017,BCCC 200-8,TEACHES,Fall
F01005,BCCC 200-8,TEACHES,Fall;Spring
F01013,BJJJ 100,TEACHES,Fall;Spring;Summer
F01003,BVVV 300-8,TEACHES,Fall;Spring
F01018,BVVV 300-8,TEACHES,Fall
F01009,BPPP 100,TEACHES,Spring
F01026,BPPP 100,TEACHES,Spring
F01006,BPPP 100,TEACHES,Fall
F01011,BQQQ 400-5,TEACHES,Spring;Summer
F01018,BQQQ 400-5,TEACHES,Spring;Summer
F01013,BJJJ 200,TEACHES,Fall;Spring
F01004,BJJJ 200,TEACHES,Fall;Spring
F01004,BLLL 300-3,TEACHES,Fall
F01029,BXXX 400-1,TEACHES,Fall;Spring
F01005,BXXX 400-1,TEACHES,Fall;Spring
F01011,BXXX 400-1,TEACHES,Fall;Spring
F01026,BFFF 300,TEACHES,Fall
F01017,BFFF 300,TEACHES,Summer
F01013,BFFF 300,TEACHES,Spring;Summer
F01003,BEEE 300,TEACHES,Fall;Spring;Summer
F01023,BEEE 300,TEACHES,Fall
F01029,BEEE 300,TEACHES,Fall;Spring;Summer
F01006,BIII 300-7,TEACHES,Fall
F01026,BIII 300-7,TEACHES,Spring
F01020,BIII 300-7,TEACHES,Fall;Spring
F01001,BLLL 100,TEACHES,Spring;Summer
F01026,BJJJ 200-2,TEACHES,Fall;Spring
F01006,BJJJ 200-2,TEACHES,Spring
F01006,BSSS 300,TEACHES,Fall;Spring
