id:ID(Textbook),name,publisher,price:float,pages:int,edition:int,publicationYear:int,isbn,category
TXT-Com-200-1,Introduction to Machine Learning,Wiley,99.84,615,5,2023,978-019-531-1,Systems
TXT-Com-100-1,Introduction to Fundamentals of Blockchain Technology,Wiley,70.95,435,5,2022,978-403-471-1,Systems
TXT-Com-200-1,Introduction to Introduction to Programming,Addison-Wesley,109.64,654,3,2020,978-378-099-7,Programming
TXT-Com-200-2,Introduction to Programming: Case Studies,Addison-Wesley,96.94,850,4,2023,978-677-362-0,Programming
TXT-Com-300-1,Advanced Data Science Analysis,McGraw-Hill,68.37,871,3,2021,978-324-782-5,Systems
TXT-Com-300-2,Data Science Analysis: Problem Solving,Wiley,60.14,328,5,2022,978-006-884-4,Systems
TXT-Com-300-3,Data Science Analysis: Problem Solving,Wiley,77.48,802,3,2020,978-234-901-2,Systems
TXT-Com-300-1,Advanced Human-Computer Interaction Analysis,Pearson,89.43,759,2,2022,978-800-862-5,Systems
TXT-Com-300-2,Human-Computer Interaction Analysis: Principles and Applications,Pearson,126.76,1047,2,2018,978-091-010-5,Systems
TXT-Com-200-1,Introduction to Natural Language Processing,McGraw-Hill,85.52,409,1,2018,978-658-567-0,Systems
TXT-Com-200-2,Natural Language Processing: Theory and Practice,McGraw-Hill,89.19,891,4,2019,978-230-958-3,Systems
TXT-Com-200-3,Natural Language Processing: Principles and Applications,McGraw-Hill,78.01,501,5,2021,978-505-924-0,Systems
TXT-Com-100-1,Introduction to Principles of IoT Development,Wiley,105.06,767,5,2023,978-487-930-6,Systems
TXT-Com-100-2,Principles of IoT Development: A Comprehensive Guide,McGraw-Hill,59.76,858,5,2023,978-649-776-5,Systems
TXT-Com-100-3,Principles of IoT Development: Problem Solving,McGraw-Hill,77.43,718,5,2021,978-242-246-5,Systems
TXT-Com-100-1,Introduction to Introduction to Compiler Design,McGraw-Hill,53.74,521,3,2023,978-110-024-1,Systems
TXT-Com-100-2,Introduction to Compiler Design: Theory and Practice,McGraw-Hill,52.21,908,3,2020,978-833-626-5,Systems
TXT-Com-100-1,Introduction to Principles of Big Data Analytics,Wiley,67.16,648,4,2022,978-449-241-1,Systems
TXT-Com-100-2,Principles of Big Data Analytics: Theory and Practice,Wiley,55.8,651,4,2022,978-214-612-0,Systems
TXT-Com-100-1,Introduction to Principles of Blockchain Technology,Pearson,79.63,469,5,2023,978-823-435-0,Systems
TXT-Com-100-2,Principles of Blockchain Technology: Problem Solving,McGraw-Hill,127.02,597,5,2019,978-548-174-8,Systems
TXT-Com-300-1,Advanced Cloud Computing Applications,McGraw-Hill,127.17,623,2,2018,978-801-854-5,Systems
TXT-Com-200-1,Introduction to Machine Learning,Wiley,103.84,521,3,2023,978-145-068-3,Systems
TXT-Com-200-2,Machine Learning: Principles and Applications,McGraw-Hill,58.15,725,5,2020,978-048-759-2,Systems
TXT-Com-200-3,Machine Learning: Principles and Applications,Wiley,99.92,567,1,2021,978-098-290-0,Systems
TXT-Com-200-1,Introduction to IoT Development,Wiley,96.06,977,1,2019,978-299-688-6,Systems
TXT-Com-200-2,IoT Development: Theory and Practice,Pearson,81.61,513,2,2020,978-796-770-1,Systems
TXT-Com-200-1,Introduction to Game Development,McGraw-Hill,83.15,585,3,2019,978-202-409-1,Systems
TXT-Com-200-2,Game Development: Theory and Practice,McGraw-Hill,94.25,475,5,2021,978-351-955-3,Systems
TXT-Com-100-1,Introduction to Principles of Machine Learning,McGraw-Hill,78.31,613,4,2022,978-839-973-4,Systems
TXT-Com-200-1,Introduction to Web Development,McGraw-Hill,122.52,590,3,2023,978-026-291-4,Systems
TXT-Com-200-2,Web Development: Theory and Practice,Wiley,108.48,680,3,2021,978-509-436-3,Systems
